Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
1ES 1218+304,00035016002,53673.93,185.34142,30.17697,12 21 21.9408,30 10 37.092,15.39 ± 0.04,16.44 ± 0.06,15.93 ± 0.07,15.23 ± 0.04,15.24 ± 0.03,15.18 ± 0.04,(0.93 ± 0.04) × 10⁻¹¹,(0.82 ± 0.04) × 10⁻¹¹,(0.92 ± 0.06) × 10⁻¹¹,(0.94 ± 0.03) × 10⁻¹¹,(0.96 ± 0.03) × 10⁻¹¹,(1.05 ± 0.04) × 10⁻¹¹
1ES 1218+304,00035016001,53674.9,185.34142,30.17697,12 21 21.9408,30 10 37.092,15.44 ± 0.04,16.39 ± 0.05,16.16 ± 0.07,15.28 ± 0.04,15.28 ± 0.03,15.22 ± 0.04,(0.89 ± 0.03) × 10⁻¹¹,(0.85 ± 0.04) × 10⁻¹¹,(0.75 ± 0.05) × 10⁻¹¹,(0.9 ± 0.03) × 10⁻¹¹,(0.93 ± 0.03) × 10⁻¹¹,(1.01 ± 0.04) × 10⁻¹¹
1ES 1218+304,00030376001,53802.18,185.34142,30.17697,12 21 21.9408,30 10 37.092,15.78 ± 0.04,16.68 ± 0.05,16.28 ± 0.06,15.64 ± 0.04,15.63 ± 0.03,15.67 ± 0.04,(0.65 ± 0.02) × 10⁻¹¹,(0.65 ± 0.03) × 10⁻¹¹,(0.67 ± 0.04) × 10⁻¹¹,(0.65 ± 0.02) × 10⁻¹¹,(0.67 ± 0.02) × 10⁻¹¹,(0.67 ± 0.02) × 10⁻¹¹
1ES 1218+304,00030376002,53803.12,185.34142,30.17697,12 21 21.9408,30 10 37.092,15.76 ± 0.04,16.73 ± 0.05,16.3 ± 0.06,15.56 ± 0.04,15.6 ± 0.03,15.57 ± 0.04,(0.67 ± 0.02) × 10⁻¹¹,(0.62 ± 0.03) × 10⁻¹¹,(0.66 ± 0.03) × 10⁻¹¹,(0.7 ± 0.02) × 10⁻¹¹,(0.69 ± 0.02) × 10⁻¹¹,(0.73 ± 0.03) × 10⁻¹¹
1ES 1218+304,00030376003,53873.73,185.34142,30.17697,12 21 21.9408,30 10 37.092,16.06 ± 0.1,17.03 ± 0.12,16.3 ± 0.15,15.9 ± 0.1,15.73 ± 0.07,15.55 ± 0.12,(0.51 ± 0.05) × 10⁻¹¹,(0.47 ± 0.05) × 10⁻¹¹,(0.65 ± 0.09) × 10⁻¹¹,(0.51 ± 0.05) × 10⁻¹¹,(0.61 ± 0.04) × 10⁻¹¹,(0.75 ± 0.08) × 10⁻¹¹
1ES 1218+304,00030376004,53874.89,185.34142,30.17697,12 21 21.9408,30 10 37.092,16.03 ± 0.07,16.93 ± 0.08,16.39 ± 0.11,15.78 ± 0.06,15.75 ± 0.05,15.7 ± 0.07,(0.52 ± 0.03) × 10⁻¹¹,(0.52 ± 0.04) × 10⁻¹¹,(0.6 ± 0.06) × 10⁻¹¹,(0.57 ± 0.03) × 10⁻¹¹,(0.6 ± 0.03) × 10⁻¹¹,(0.65 ± 0.04) × 10⁻¹¹
1ES 1218+304,00030376005,53875.89,185.34142,30.17697,12 21 21.9408,30 10 37.092,15.99 ± 0.07,16.73 ± 0.07,16.43 ± 0.1,15.87 ± 0.06,15.73 ± 0.05,15.6 ± 0.06,(0.54 ± 0.03) × 10⁻¹¹,(0.62 ± 0.04) × 10⁻¹¹,(0.58 ± 0.05) × 10⁻¹¹,(0.52 ± 0.03) × 10⁻¹¹,(0.61 ± 0.03) × 10⁻¹¹,(0.71 ± 0.04) × 10⁻¹¹
1ES 1218+304,00030376006,53876.74,185.34142,30.17697,12 21 21.9408,30 10 37.092,15.92 ± 0.07,16.94 ± 0.08,16.21 ± 0.1,15.75 ± 0.07,15.8 ± 0.05,15.76 ± 0.08,(0.57 ± 0.04) × 10⁻¹¹,(0.51 ± 0.04) × 10⁻¹¹,(0.71 ± 0.07) × 10⁻¹¹,(0.59 ± 0.04) × 10⁻¹¹,(0.57 ± 0.03) × 10⁻¹¹,(0.61 ± 0.05) × 10⁻¹¹
1ES 1218+304,00040578001,55973.39,185.34142,30.17697,12 21 21.9408,30 10 37.092,15.73 ± 0.04,16.65 ± 0.05,16.11 ± 0.06,15.43 ± 0.04,15.4 ± 0.03,15.38 ± 0.04,(0.69 ± 0.03) × 10⁻¹¹,(0.67 ± 0.03) × 10⁻¹¹,(0.78 ± 0.05) × 10⁻¹¹,(0.79 ± 0.03) × 10⁻¹¹,(0.83 ± 0.02) × 10⁻¹¹,(0.87 ± 0.03) × 10⁻¹¹
1ES 1218+304,00040578002,55979.41,185.34142,30.17697,12 21 21.9408,30 10 37.092,15.55 ± 0.04,16.55 ± 0.04,16.27 ± 0.07,15.48 ± 0.04,15.42 ± 0.03,15.4 ± 0.04,(0.81 ± 0.03) × 10⁻¹¹,(0.74 ± 0.03) × 10⁻¹¹,(0.67 ± 0.04) × 10⁻¹¹,(0.76 ± 0.03) × 10⁻¹¹,(0.82 ± 0.02) × 10⁻¹¹,(0.86 ± 0.03) × 10⁻¹¹
