Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
1H 0323+342,00035372001,53922.44,51.17151,34.1794,3 24 41.1624,34 10 45.84,15.18 ± 0.04,16.12 ± 0.05,15.81 ± 0.08,15.32 ± 0.04,15.57 ± 0.04,15.62 ± 0.06,(2.67 ± 0.11) × 10⁻¹¹,(2.21 ± 0.1) × 10⁻¹¹,(1.74 ± 0.12) × 10⁻¹¹,(2.73 ± 0.11) × 10⁻¹¹,(2.94 ± 0.1) × 10⁻¹¹,(0.34 ± 0.02) × 10⁻¹⁰
1H 0323+342,00035372002,53925.59,51.17151,34.1794,3 24 41.1624,34 10 45.84,15.13 ± 0.04,16.17 ± 0.05,-,15.29 ± 0.04,-,-,(2.8 ± 0.1) × 10⁻¹¹,(2.11 ± 0.09) × 10⁻¹¹,-,(2.82 ± 0.1) × 10⁻¹¹,-,-
1H 0323+342,00036533001,54301.95,51.17151,34.1794,3 24 41.1624,34 10 45.84,15.33 ± 0.05,16.19 ± 0.05,15.57 ± 0.07,15.63 ± 0.05,15.78 ± 0.04,15.87 ± 0.06,(2.32 ± 0.1) × 10⁻¹¹,(2.07 ± 0.1) × 10⁻¹¹,(2.16 ± 0.14) × 10⁻¹¹,(2.06 ± 0.1) × 10⁻¹¹,(2.42 ± 0.09) × 10⁻¹¹,(2.75 ± 0.16) × 10⁻¹¹
1H 0323+342,00036533002,54408.17,51.17151,34.1794,3 24 41.1624,34 10 45.84,15.58 ± 0.04,16.38 ± 0.04,15.77 ± 0.05,15.9 ± 0.04,16.12 ± 0.04,16.27 ± 0.06,(1.85 ± 0.07) × 10⁻¹¹,(1.73 ± 0.06) × 10⁻¹¹,(1.8 ± 0.09) × 10⁻¹¹,(1.6 ± 0.07) × 10⁻¹¹,(1.77 ± 0.06) × 10⁻¹¹,(1.89 ± 0.1) × 10⁻¹¹
1H 0323+342,00036533003,54415.13,51.17151,34.1794,3 24 41.1624,34 10 45.84,15.62 ± 0.04,16.38 ± 0.04,15.79 ± 0.05,15.79 ± 0.04,15.97 ± 0.03,16.08 ± 0.06,(1.79 ± 0.06) × 10⁻¹¹,(1.73 ± 0.06) × 10⁻¹¹,(1.76 ± 0.08) × 10⁻¹¹,(1.78 ± 0.07) × 10⁻¹¹,(2.02 ± 0.07) × 10⁻¹¹,(2.25 ± 0.12) × 10⁻¹¹
1H 0323+342,00036533004,54429.8,51.17151,34.1794,3 24 41.1624,34 10 45.84,15.54 ± 0.04,16.37 ± 0.04,15.79 ± 0.05,15.88 ± 0.04,16.13 ± 0.03,16.21 ± 0.05,(1.91 ± 0.06) × 10⁻¹¹,(1.74 ± 0.06) × 10⁻¹¹,(1.77 ± 0.08) × 10⁻¹¹,(1.63 ± 0.06) × 10⁻¹¹,(1.75 ± 0.06) × 10⁻¹¹,(2.0 ± 0.09) × 10⁻¹¹
1H 0323+342,00036533005,54435.26,51.17151,34.1794,3 24 41.1624,34 10 45.84,15.59 ± 0.05,16.33 ± 0.05,15.81 ± 0.07,15.8 ± 0.05,15.96 ± 0.04,16.04 ± 0.07,(1.82 ± 0.08) × 10⁻¹¹,(1.82 ± 0.08) × 10⁻¹¹,(1.73 ± 0.11) × 10⁻¹¹,(1.76 ± 0.09) × 10⁻¹¹,(2.04 ± 0.08) × 10⁻¹¹,(2.35 ± 0.14) × 10⁻¹¹
1H 0323+342,00036533006,54440.18,51.17151,34.1794,3 24 41.1624,34 10 45.84,15.65 ± 0.05,16.36 ± 0.06,15.78 ± 0.07,15.73 ± 0.06,16.07 ± 0.05,16.06 ± 0.07,(1.74 ± 0.09) × 10⁻¹¹,(1.77 ± 0.09) × 10⁻¹¹,(1.79 ± 0.12) × 10⁻¹¹,(1.89 ± 0.1) × 10⁻¹¹,(1.85 ± 0.08) × 10⁻¹¹,(2.31 ± 0.16) × 10⁻¹¹
1H 0323+342,00036533007,54449.42,51.17151,34.1794,3 24 41.1624,34 10 45.84,15.62 ± 0.04,16.4 ± 0.04,15.81 ± 0.05,15.78 ± 0.04,15.94 ± 0.04,16.15 ± 0.05,(1.78 ± 0.07) × 10⁻¹¹,(1.7 ± 0.06) × 10⁻¹¹,(1.74 ± 0.08) × 10⁻¹¹,(1.79 ± 0.07) × 10⁻¹¹,(2.08 ± 0.07) × 10⁻¹¹,(2.13 ± 0.1) × 10⁻¹¹
1H 0323+342,00036533008,54457.42,51.17151,34.1794,3 24 41.1624,34 10 45.84,15.47 ± 0.05,16.41 ± 0.05,15.73 ± 0.07,15.74 ± 0.05,15.84 ± 0.04,16.11 ± 0.07,(2.03 ± 0.09) × 10⁻¹¹,(1.69 ± 0.08) × 10⁻¹¹,(1.87 ± 0.11) × 10⁻¹¹,(1.85 ± 0.09) × 10⁻¹¹,(2.27 ± 0.09) × 10⁻¹¹,(2.21 ± 0.14) × 10⁻¹¹
