Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
1RXSJ154439,00036065001,53983.54,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,-,-,-,-,-,23.57 ± 5.85,-,-,-,-,-,(2.39 ± 12.85) × 10⁻¹⁴
1RXSJ154439,00036065002,54117.51,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,-,-,-,-,-,24.2 ± 13.15,-,-,-,-,-,(1.34 ± 16.23) × 10⁻¹⁴
1RXSJ154439,00036065003,55966.67,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,20.36 ± 0.94,20.91 ± 1.21,24.53 ± 89.89,20.46 ± 0.79,-,20.92 ± 0.58,(2.32 ± 2.0) × 10⁻¹³,(2.72 ± 3.02) × 10⁻¹³,(0.57 ± 47.3) × 10⁻¹⁴,(2.48 ± 1.82) × 10⁻¹³,-,(2.73 ± 1.47) × 10⁻¹³
1RXSJ154439,00036065004,56091.78,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,-,-,-,22.47 ± 1.77,-,-,-,-,-,(0.39 ± 0.64) × 10⁻¹³,-,-
1RXSJ154439,00081442001,57108.82,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,21.21 ± 0.46,-,-,-,-,-,(1.05 ± 0.44) × 10⁻¹³,-,-,-,-,-
1RXSJ154439,00036065005,57113.4,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,-,-,-,-,21.34 ± 0.73,-,-,-,-,-,(1.5 ± 1.01) × 10⁻¹³,-
1RXSJ154439,00036065006,57139.37,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,-,-,-,21.32 ± 0.81,-,-,-,-,-,(1.12 ± 0.83) × 10⁻¹³,-,-
1RXSJ154439,00036065007,57156.7,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,21.67 ± 1.41,-,-,-,-,-,(0.7 ± 0.9) × 10⁻¹³,-,-,-,-,-
1RXSJ154439,00036065008,57167.16,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,-,-,-,19.95 ± 0.67,-,-,-,-,-,(0.4 ± 0.25) × 10⁻¹²,-,-
1RXSJ154439,00036065009,57176.72,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,23.54 ± 7.98,20.62 ± 0.43,19.91 ± 0.54,-,-,-,(1.24 ± 9.08) × 10⁻¹⁴,(0.36 ± 0.14) × 10⁻¹²,(0.4 ± 0.2) × 10⁻¹²,-,-,-
1RXSJ154439,00036065010,57179.12,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,-,24.02 ± 15.03,21.68 ± 4.4,-,-,-,-,(1.55 ± 21.5) × 10⁻¹⁴,(0.79 ± 3.19) × 10⁻¹³,-,-,-
1RXSJ154439,00036065011,57182.5,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,23.01 ± 4.73,21.12 ± 0.65,19.62 ± 0.41,-,-,-,(2.01 ± 8.77) × 10⁻¹⁴,(2.25 ± 1.35) × 10⁻¹³,(0.52 ± 0.2) × 10⁻¹²,-,-,-
1RXSJ154439,00036065012,57185.9,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,24.86 ± 27.45,-,-,-,-,-,(0.37 ± 9.25) × 10⁻¹⁴,-,-,-,-,-
1RXSJ154439,00036065015,57199.32,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,-,-,-,21.23 ± 1.06,-,-,-,-,-,(1.22 ± 1.18) × 10⁻¹³,-,-
1RXSJ154439,00036065020,57254.26,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,-,-,-,-,-,25.33 ± 46.15,-,-,-,-,-,(0.47 ± 20.15) × 10⁻¹⁴
1RXSJ154439,00084762004,57291.64,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,-,-,-,21.8 ± 2.61,-,-,-,-,-,(0.72 ± 1.74) × 10⁻¹³,-,-
1RXSJ154439,00084762005,57292.83,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,21.67 ± 2.11,-,-,-,21.5 ± 1.33,-,(0.69 ± 1.34) × 10⁻¹³,-,-,-,(1.29 ± 1.58) × 10⁻¹³,-
1RXSJ154439,00084762006,57295.63,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,-,-,-,20.75 ± 1.12,-,-,-,-,-,(1.91 ± 1.97) × 10⁻¹³,-,-
1RXSJ154439,00092235003,57571.13,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,-,-,-,21.53 ± 1.23,-,-,-,-,-,(0.93 ± 1.05) × 10⁻¹³,-,-
1RXSJ154439,00092235004,57599.28,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,-,-,-,21.36 ± 0.98,-,-,-,-,-,(1.09 ± 0.98) × 10⁻¹³,-,-
1RXSJ154439,00092235005,57627.58,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,-,-,-,20.68 ± 0.51,-,-,-,-,-,(2.03 ± 0.95) × 10⁻¹³,-,-
1RXSJ154439,00036065035,57905.81,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,-,-,-,-,21.09 ± 1.54,-,-,-,-,-,(1.89 ± 2.68) × 10⁻¹³,-
1RXSJ154439,00036065039,57914.28,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,-,-,-,-,-,20.9 ± 1.35,-,-,-,-,-,(2.79 ± 3.46) × 10⁻¹³
1RXSJ154439,00095621001,58967.18,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,-,-,-,22.46 ± 2.87,-,-,-,-,-,(0.4 ± 1.05) × 10⁻¹³,-,-
1RXSJ154439,00095621004,59219.03,236.16404,-11.46803,15 44 39.3696,-11 28 04.908,-,-,-,21.5 ± 1.45,-,-,-,-,-,(0.95 ± 1.28) × 10⁻¹³,-,-
