Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
2E 1823.3+5649,00036394002,54173.77,276.02946,56.85042,18 24 07.0704,56 51 01.512,-,-,-,20.8 ± 0.8,23.68 ± 6.0,-,-,-,-,(0.72 ± 0.53) × 10⁻¹³,(0.55 ± 3.04) × 10⁻¹⁴,-
2E 1823.3+5649,00036394003,54194.81,276.02946,56.85042,18 24 07.0704,56 51 01.512,22.58 ± 13.29,21.68 ± 4.22,19.76 ± 1.89,20.03 ± 0.76,-,-,(1.5 ± 18.37) × 10⁻¹⁴,(0.76 ± 2.95) × 10⁻¹³,(3.02 ± 5.26) × 10⁻¹³,(1.46 ± 1.03) × 10⁻¹³,-,-
2E 1823.3+5649,00036394005,54564.29,276.02946,56.85042,18 24 07.0704,56 51 01.512,22.78 ± 4.46,-,-,-,-,-,(1.25 ± 5.12) × 10⁻¹⁴,-,-,-,-,-
2E 1823.3+5649,00036394006,54982.71,276.02946,56.85042,18 24 07.0704,56 51 01.512,-,-,-,-,-,22.5 ± 1.72,-,-,-,-,-,(1.75 ± 2.76) × 10⁻¹⁴
2E 1823.3+5649,00036394007,54993.82,276.02946,56.85042,18 24 07.0704,56 51 01.512,-,-,-,-,22.88 ± 1.83,-,-,-,-,-,(1.15 ± 1.94) × 10⁻¹⁴,-
2E 1823.3+5649,00036394009,55086.92,276.02946,56.85042,18 24 07.0704,56 51 01.512,-,-,-,-,-,21.71 ± 1.94,-,-,-,-,-,(0.36 ± 0.65) × 10⁻¹³
2E 1823.3+5649,00036394010,55414.66,276.02946,56.85042,18 24 07.0704,56 51 01.512,-,-,-,-,-,22.17 ± 6.67,-,-,-,-,-,(2.37 ± 14.58) × 10⁻¹⁴
2E 1823.3+5649,00036394011,55416.78,276.02946,56.85042,18 24 07.0704,56 51 01.512,21.38 ± 3.35,-,-,-,-,-,(0.45 ± 1.4) × 10⁻¹³,-,-,-,-,-
2E 1823.3+5649,00036394012,55417.91,276.02946,56.85042,18 24 07.0704,56 51 01.512,-,-,-,-,23.87 ± 4.13,-,-,-,-,-,(0.46 ± 1.76) × 10⁻¹⁴,-
2E 1823.3+5649,00036394013,55820.44,276.02946,56.85042,18 24 07.0704,56 51 01.512,-,20.19 ± 0.67,21.5 ± 5.07,21.64 ± 2.52,20.85 ± 0.8,21.63 ± 2.01,-,(2.99 ± 1.84) × 10⁻¹³,(0.61 ± 2.83) × 10⁻¹³,(0.33 ± 0.77) × 10⁻¹³,(0.75 ± 0.55) × 10⁻¹³,(0.39 ± 0.72) × 10⁻¹³
2E 1823.3+5649,00095125003,58705.35,276.02946,56.85042,18 24 07.0704,56 51 01.512,-,-,-,-,21.6 ± 0.62,-,-,-,-,-,(0.37 ± 0.21) × 10⁻¹³,-
2E 1823.3+5649,00095125004,58708.27,276.02946,56.85042,18 24 07.0704,56 51 01.512,22.7 ± 2.3,-,-,-,-,-,(1.34 ± 2.84) × 10⁻¹⁴,-,-,-,-,-
2E 1823.3+5649,00095125006,58715.51,276.02946,56.85042,18 24 07.0704,56 51 01.512,-,-,-,21.66 ± 1.42,-,-,-,-,-,(0.32 ± 0.42) × 10⁻¹³,-,-
2E 1823.3+5649,00095125007,58719.51,276.02946,56.85042,18 24 07.0704,56 51 01.512,-,-,-,19.85 ± 0.78,-,-,-,-,-,(1.72 ± 1.23) × 10⁻¹³,-,-
2E 1823.3+5649,00095125008,58722.46,276.02946,56.85042,18 24 07.0704,56 51 01.512,-,-,-,-,-,21.74 ± 1.01,-,-,-,-,-,(0.35 ± 0.33) × 10⁻¹³
2E 1823.3+5649,00095125010,58729.73,276.02946,56.85042,18 24 07.0704,56 51 01.512,-,-,-,-,22.51 ± 1.18,-,-,-,-,-,(1.61 ± 1.76) × 10⁻¹⁴,-
