Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
3C 120,00036369001,54187.5,68.29623,5.35434,4 33 11.0952,5 21 15.624,14.16 ± 0.03,15.22 ± 0.03,14.62 ± 0.03,14.44 ± 0.03,14.83 ± 0.03,14.95 ± 0.03,(1.01 ± 0.03) × 10⁻¹⁰,(0.7 ± 0.02) × 10⁻¹⁰,(0.66 ± 0.02) × 10⁻¹⁰,(1.05 ± 0.03) × 10⁻¹⁰,(1.12 ± 0.03) × 10⁻¹⁰,(1.34 ± 0.04) × 10⁻¹⁰
3C 120,00036369002,54311.49,68.29623,5.35434,4 33 11.0952,5 21 15.624,-,-,-,14.25 ± 0.02,-,-,-,-,-,(1.25 ± 0.03) × 10⁻¹⁰,-,-
3C 120,00037594001,54665.75,68.29623,5.35434,4 33 11.0952,5 21 15.624,13.98 ± 0.03,-,-,14.15 ± 0.03,14.5 ± 0.03,14.72 ± 0.04,(1.19 ± 0.03) × 10⁻¹⁰,-,-,(1.36 ± 0.04) × 10⁻¹⁰,(1.5 ± 0.04) × 10⁻¹⁰,(1.65 ± 0.06) × 10⁻¹⁰
3C 120,00036369003,54689.0,68.29623,5.35434,4 33 11.0952,5 21 15.624,14.06 ± 0.02,-,-,-,14.68 ± 0.02,-,(1.11 ± 0.02) × 10⁻¹⁰,-,-,-,(1.27 ± 0.03) × 10⁻¹⁰,-
3C 120,00037594003,55252.41,68.29623,5.35434,4 33 11.0952,5 21 15.624,14.58 ± 0.03,-,-,-,-,-,(0.69 ± 0.02) × 10⁻¹⁰,-,-,-,-,-
3C 120,00037594002,55252.71,68.29623,5.35434,4 33 11.0952,5 21 15.624,14.6 ± 0.03,-,14.98 ± 0.04,14.88 ± 0.03,15.36 ± 0.03,15.53 ± 0.04,(0.68 ± 0.02) × 10⁻¹⁰,-,(0.47 ± 0.02) × 10⁻¹⁰,(0.7 ± 0.02) × 10⁻¹⁰,(0.68 ± 0.02) × 10⁻¹⁰,(0.79 ± 0.03) × 10⁻¹⁰
3C 120,00037594004,55800.26,68.29623,5.35434,4 33 11.0952,5 21 15.624,14.59 ± 0.03,-,14.84 ± 0.04,14.8 ± 0.03,15.25 ± 0.03,15.41 ± 0.04,(0.68 ± 0.02) × 10⁻¹⁰,-,(0.54 ± 0.02) × 10⁻¹⁰,(0.75 ± 0.02) × 10⁻¹⁰,(0.75 ± 0.02) × 10⁻¹⁰,(0.88 ± 0.03) × 10⁻¹⁰
3C 120,00037594005,55800.33,68.29623,5.35434,4 33 11.0952,5 21 15.624,14.55 ± 0.02,-,-,-,-,-,(0.71 ± 0.02) × 10⁻¹⁰,-,-,-,-,-
3C 120,00037594006,55897.66,68.29623,5.35434,4 33 11.0952,5 21 15.624,-,-,-,-,15.15 ± 0.03,-,-,-,-,-,(0.83 ± 0.02) × 10⁻¹⁰,-
3C 120,00037594007,55901.35,68.29623,5.35434,4 33 11.0952,5 21 15.624,-,-,-,-,15.13 ± 0.03,-,-,-,-,-,(0.84 ± 0.02) × 10⁻¹⁰,-
3C 120,00037594008,55909.38,68.29623,5.35434,4 33 11.0952,5 21 15.624,-,-,-,-,15.08 ± 0.03,-,-,-,-,-,(0.88 ± 0.02) × 10⁻¹⁰,-
3C 120,00037594009,55913.69,68.29623,5.35434,4 33 11.0952,5 21 15.624,-,-,-,-,15.05 ± 0.02,-,-,-,-,-,(0.91 ± 0.02) × 10⁻¹⁰,-
3C 120,00037594010,55918.2,68.29623,5.35434,4 33 11.0952,5 21 15.624,-,-,-,-,-,15.08 ± 0.03,-,-,-,-,-,(1.19 ± 0.03) × 10⁻¹⁰
