Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
3C 66A,00035003001,53550.59,35.66505,43.0355,2 22 39.612,43 02 07.8,14.5 ± 0.03,15.29 ± 0.03,14.8 ± 0.04,14.58 ± 0.03,14.85 ± 0.03,14.75 ± 0.04,(2.84 ± 0.09) × 10⁻¹¹,(2.98 ± 0.09) × 10⁻¹¹,(3.1 ± 0.12) × 10⁻¹¹,(2.54 ± 0.08) × 10⁻¹¹,(2.24 ± 0.06) × 10⁻¹¹,(2.68 ± 0.09) × 10⁻¹¹
3C 66A,00035003003,53701.69,35.66505,43.0355,2 22 39.612,43 02 07.8,14.83 ± 0.06,15.5 ± 0.09,15.08 ± 0.08,14.97 ± 0.06,15.2 ± 0.05,15.11 ± 0.07,(2.08 ± 0.12) × 10⁻¹¹,(2.46 ± 0.21) × 10⁻¹¹,(2.4 ± 0.18) × 10⁻¹¹,(1.77 ± 0.1) × 10⁻¹¹,(1.61 ± 0.08) × 10⁻¹¹,(1.93 ± 0.13) × 10⁻¹¹
3C 66A,00031271001,54741.36,35.66505,43.0355,2 22 39.612,43 02 07.8,13.86 ± 0.03,14.7 ± 0.02,14.39 ± 0.08,13.89 ± 0.02,14.05 ± 0.02,-,(0.51 ± 0.01) × 10⁻¹⁰,(0.51 ± 0.01) × 10⁻¹⁰,(0.45 ± 0.03) × 10⁻¹⁰,(0.48 ± 0.01) × 10⁻¹⁰,(0.46 ± 0.01) × 10⁻¹⁰,-
3C 66A,00031271002,54742.9,35.66505,43.0355,2 22 39.612,43 02 07.8,13.76 ± 0.03,14.6 ± 0.03,14.21 ± 0.04,13.75 ± 0.03,13.96 ± 0.03,13.85 ± 0.04,(0.56 ± 0.02) × 10⁻¹⁰,(0.56 ± 0.02) × 10⁻¹⁰,(0.53 ± 0.02) × 10⁻¹⁰,(0.55 ± 0.02) × 10⁻¹⁰,(0.51 ± 0.01) × 10⁻¹⁰,(0.62 ± 0.02) × 10⁻¹⁰
3C 66A,00031271003,54744.33,35.66505,43.0355,2 22 39.612,43 02 07.8,13.76 ± 0.03,14.56 ± 0.03,14.19 ± 0.04,13.79 ± 0.03,13.95 ± 0.03,13.85 ± 0.04,(0.56 ± 0.02) × 10⁻¹⁰,(0.58 ± 0.02) × 10⁻¹⁰,(0.54 ± 0.02) × 10⁻¹⁰,(0.53 ± 0.02) × 10⁻¹⁰,(0.51 ± 0.01) × 10⁻¹⁰,(0.61 ± 0.02) × 10⁻¹⁰
3C 66A,00031271004,54745.33,35.66505,43.0355,2 22 39.612,43 02 07.8,13.86 ± 0.04,14.69 ± 0.04,14.24 ± 0.04,13.84 ± 0.03,14.02 ± 0.03,14.0 ± 0.04,(0.51 ± 0.02) × 10⁻¹⁰,(0.52 ± 0.02) × 10⁻¹⁰,(0.52 ± 0.02) × 10⁻¹⁰,(0.5 ± 0.02) × 10⁻¹⁰,(0.48 ± 0.01) × 10⁻¹⁰,(0.53 ± 0.02) × 10⁻¹⁰
3C 66A,00031271006,55181.34,35.66505,43.0355,2 22 39.612,43 02 07.8,-,-,-,-,14.23 ± 0.02,-,-,-,-,-,(0.39 ± 0.01) × 10⁻¹⁰,-
3C 66A,00035003004,55501.71,35.66505,43.0355,2 22 39.612,43 02 07.8,13.43 ± 0.03,14.22 ± 0.02,13.75 ± 0.03,13.57 ± 0.02,13.83 ± 0.02,13.91 ± 0.03,(0.76 ± 0.02) × 10⁻¹⁰,(0.8 ± 0.02) × 10⁻¹⁰,(0.82 ± 0.02) × 10⁻¹⁰,(0.64 ± 0.01) × 10⁻¹⁰,(0.57 ± 0.01) × 10⁻¹⁰,(0.58 ± 0.01) × 10⁻¹⁰
3C 66A,00035003005,55508.69,35.66505,43.0355,2 22 39.612,43 02 07.8,13.59 ± 0.03,14.35 ± 0.03,13.95 ± 0.06,13.73 ± 0.03,13.99 ± 0.03,-,(0.66 ± 0.02) × 10⁻¹⁰,(0.7 ± 0.02) × 10⁻¹⁰,(0.68 ± 0.04) × 10⁻¹⁰,(0.55 ± 0.01) × 10⁻¹⁰,(0.49 ± 0.01) × 10⁻¹⁰,-
3C 66A,00035003006,55510.95,35.66505,43.0355,2 22 39.612,43 02 07.8,13.58 ± 0.03,14.34 ± 0.03,13.89 ± 0.03,13.74 ± 0.03,14.13 ± 0.02,13.97 ± 0.03,(0.66 ± 0.02) × 10⁻¹⁰,(0.71 ± 0.02) × 10⁻¹⁰,(0.72 ± 0.02) × 10⁻¹⁰,(0.55 ± 0.01) × 10⁻¹⁰,(0.43 ± 0.01) × 10⁻¹⁰,(0.55 ± 0.01) × 10⁻¹⁰
