Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
3FGL J0730.5-660,00038886001,54875.35,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,21.73 ± 1.24,-,-,-,-,-,(0.54 ± 0.62) × 10⁻¹³,-,-
3FGL J0730.5-660,00083606001,56727.04,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,19.48 ± 0.71,-,19.19 ± 0.66,19.97 ± 0.82,24.31 ± 20.26,-,(0.4 ± 0.26) × 10⁻¹²,-,(0.67 ± 0.4) × 10⁻¹²,(2.74 ± 2.07) × 10⁻¹³,(0.63 ± 11.79) × 10⁻¹⁴,-
3FGL J0730.5-660,00083606004,57824.7,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,20.29 ± 1.18,19.67 ± 0.47,21.03 ± 3.02,-,-,-,(1.91 ± 2.08) × 10⁻¹³,(0.69 ± 0.29) × 10⁻¹²,(1.23 ± 3.41) × 10⁻¹³,-,-,-
3FGL J0730.5-660,00010874001,58365.07,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,-,23.15 ± 6.21,-,-,-,-,-,(1.83 ± 10.46) × 10⁻¹⁴,-
3FGL J0730.5-660,00010874004,58377.74,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,-,21.14 ± 0.95,-,-,-,-,-,(1.16 ± 1.02) × 10⁻¹³,-
3FGL J0730.5-660,00010874009,58396.06,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,21.71 ± 1.34,-,-,-,-,-,(0.52 ± 0.64) × 10⁻¹³,-,-,-,-,-
3FGL J0730.5-660,00010874010,58406.9,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,-,-,24.58 ± 24.19,-,-,-,-,-,(0.58 ± 12.81) × 10⁻¹⁴
3FGL J0730.5-660,00010874012,58413.15,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,-,22.07 ± 2.3,-,-,-,-,-,(0.5 ± 1.06) × 10⁻¹³,-
3FGL J0730.5-660,00010874013,58417.91,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,-,25.0 ± 27.82,-,-,-,-,-,(0.33 ± 8.57) × 10⁻¹⁴,-
3FGL J0730.5-660,00010874018,58438.11,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,-,-,22.92 ± 3.83,-,-,-,-,-,(2.67 ± 9.42) × 10⁻¹⁴
3FGL J0730.5-660,00010874023,58462.02,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,-,-,21.07 ± 0.72,-,-,-,-,-,(1.46 ± 0.96) × 10⁻¹³
3FGL J0730.5-660,00010874027,58477.5,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,-,21.53 ± 0.96,-,-,-,-,-,(0.81 ± 0.72) × 10⁻¹³,-
3FGL J0730.5-660,00010874028,58497.4,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,-,23.77 ± 6.81,-,-,-,-,-,(1.03 ± 6.48) × 10⁻¹⁴,-
3FGL J0730.5-660,00010874029,58499.39,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,21.17 ± 0.8,-,-,-,-,-,(0.91 ± 0.67) × 10⁻¹³,-,-
3FGL J0730.5-660,00010874032,58514.49,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,-,-,21.61 ± 1.18,-,-,-,-,-,(0.89 ± 0.97) × 10⁻¹³
3FGL J0730.5-660,00010874033,58516.02,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,22.83 ± 2.7,-,-,-,-,-,(1.83 ± 4.54) × 10⁻¹⁴,-,-,-,-,-
3FGL J0730.5-660,00010874035,58523.47,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,23.25 ± 6.18,-,-,-,-,-,(1.34 ± 7.62) × 10⁻¹⁴,-,-
3FGL J0730.5-660,00010874036,58528.42,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,21.83 ± 1.17,-,-,-,-,-,(0.46 ± 0.5) × 10⁻¹³,-,-,-,-,-
3FGL J0730.5-660,00010874038,58535.19,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,21.32 ± 0.78,-,-,-,-,-,(0.79 ± 0.57) × 10⁻¹³,-,-
3FGL J0730.5-660,00010874040,58543.1,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,22.97 ± 3.69,-,-,-,-,-,(1.73 ± 5.89) × 10⁻¹⁴,-,-
3FGL J0730.5-660,00010874041,58547.02,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,21.31 ± 0.85,-,-,-,-,-,(0.8 ± 0.63) × 10⁻¹³,-,-
3FGL J0730.5-660,00010874042,58560.44,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,21.04 ± 0.64,-,-,-,-,-,(0.95 ± 0.55) × 10⁻¹³,-,-,-,-,-
3FGL J0730.5-660,00010874046,58579.02,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,20.56 ± 0.44,-,-,-,-,-,(1.6 ± 0.65) × 10⁻¹³,-,-
3FGL J0730.5-660,00010874048,58587.39,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,21.82 ± 1.18,-,-,-,-,-,(0.5 ± 0.55) × 10⁻¹³,-,-
3FGL J0730.5-660,00010874050,58595.03,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,21.01 ± 0.69,-,-,-,-,-,(1.06 ± 0.67) × 10⁻¹³,-,-
3FGL J0730.5-660,00010874054,58627.18,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,23.28 ± 4.23,-,-,-,-,-,(1.3 ± 5.07) × 10⁻¹⁴,-,-
3FGL J0730.5-660,00010874055,58631.02,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,22.86 ± 3.86,-,-,-,-,-,(1.92 ± 6.84) × 10⁻¹⁴,-,-
3FGL J0730.5-660,00010874056,58635.21,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,21.4 ± 0.97,-,-,-,-,-,(0.74 ± 0.66) × 10⁻¹³,-,-
3FGL J0730.5-660,00010874058,58643.3,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,26.05 ± 79.07,-,-,-,-,-,(1.01 ± 73.78) × 10⁻¹⁵,-,-
3FGL J0730.5-660,00010874059,58647.28,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,22.13 ± 2.19,-,-,-,-,-,(0.38 ± 0.76) × 10⁻¹³,-,-
3FGL J0730.5-660,00010874060,58651.26,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,23.97 ± 12.17,-,-,-,-,-,(0.69 ± 7.72) × 10⁻¹⁴,-,-
3FGL J0730.5-660,00010874061,58663.51,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,23.28 ± 5.57,-,-,-,-,-,(1.31 ± 6.7) × 10⁻¹⁴,-,-
3FGL J0730.5-660,00010874062,58667.56,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,22.12 ± 1.68,-,-,-,-,-,(0.38 ± 0.58) × 10⁻¹³,-,-
3FGL J0730.5-660,00010874063,58671.41,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,21.79 ± 1.34,-,-,-,-,-,(0.51 ± 0.63) × 10⁻¹³,-,-
3FGL J0730.5-660,00010874068,58691.1,112.70633,-66.03858,7 30 49.5192,-66 02 18.888,-,-,-,21.6 ± 1.3,-,-,-,-,-,(0.61 ± 0.73) × 10⁻¹³,-,-
