Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
4FGL J1544.3-0649,00010145001,57899.11,236.07917,-6.825,15 44 19,-06 49.5,-,-,22.73 ± 14.96,23.22 ± 9.44,20.85 ± 0.73,-,-,-,(2.55 ± 35.09) × 10⁻¹⁴,(1.38 ± 11.98) × 10⁻¹⁴,(1.52 ± 1.02) × 10⁻¹³,-
4FGL J1544.3-0649,00010145003,57913.61,236.07917,-6.825,15 44 19,-06 49.5,-,21.22 ± 1.93,18.8 ± 0.56,-,-,21.55 ± 1.22,-,(1.65 ± 2.94) × 10⁻¹³,(0.95 ± 0.49) × 10⁻¹²,-,-,(0.94 ± 1.05) × 10⁻¹³
4FGL J1544.3-0649,00010145004,57915.51,236.07917,-6.825,15 44 19,-06 49.5,-,20.98 ± 1.13,22.48 ± 10.41,24.67 ± 32.66,21.36 ± 1.01,23.24 ± 6.9,-,(2.05 ± 2.13) × 10⁻¹³,(0.32 ± 3.08) × 10⁻¹³,(0.36 ± 10.87) × 10⁻¹⁴,(0.95 ± 0.89) × 10⁻¹³,(1.98 ± 12.57) × 10⁻¹⁴
4FGL J1544.3-0649,00010145005,57917.56,236.07917,-6.825,15 44 19,-06 49.5,20.15 ± 1.04,19.94 ± 0.64,18.97 ± 0.65,20.35 ± 0.97,24.79 ± 29.43,19.93 ± 0.72,(2.15 ± 2.06) × 10⁻¹³,(0.54 ± 0.32) × 10⁻¹²,(0.81 ± 0.48) × 10⁻¹²,(1.92 ± 1.72) × 10⁻¹³,(0.4 ± 10.96) × 10⁻¹⁴,(0.42 ± 0.28) × 10⁻¹²
4FGL J1544.3-0649,00010145006,57932.38,236.07917,-6.825,15 44 19,-06 49.5,21.53 ± 0.97,-,-,-,-,-,(0.61 ± 0.54) × 10⁻¹³,-,-,-,-,-
4FGL J1544.3-0649,00010145008,57935.73,236.07917,-6.825,15 44 19,-06 49.5,20.99 ± 2.8,21.13 ± 2.3,18.43 ± 0.53,19.61 ± 0.56,22.45 ± 4.41,-,(0.99 ± 2.56) × 10⁻¹³,(1.8 ± 3.8) × 10⁻¹³,(1.33 ± 0.66) × 10⁻¹²,(0.38 ± 0.2) × 10⁻¹²,(0.35 ± 1.42) × 10⁻¹³,-
4FGL J1544.3-0649,00010145010,57943.41,236.07917,-6.825,15 44 19,-06 49.5,-,-,-,22.82 ± 2.94,-,-,-,-,-,(1.99 ± 5.39) × 10⁻¹⁴,-,-
4FGL J1544.3-0649,00010145011,57950.29,236.07917,-6.825,15 44 19,-06 49.5,-,-,-,-,-,21.19 ± 0.52,-,-,-,-,-,(1.3 ± 0.62) × 10⁻¹³
4FGL J1544.3-0649,00010145013,57960.66,236.07917,-6.825,15 44 19,-06 49.5,-,-,20.38 ± 2.16,-,24.21 ± 16.46,21.82 ± 1.66,-,-,(2.22 ± 4.43) × 10⁻¹³,-,(0.68 ± 10.38) × 10⁻¹⁴,(0.73 ± 1.12) × 10⁻¹³
4FGL J1544.3-0649,00010145014,57963.77,236.07917,-6.825,15 44 19,-06 49.5,-,21.55 ± 2.09,20.13 ± 1.41,21.65 ± 1.96,23.01 ± 4.25,23.65 ± 6.43,-,(1.22 ± 2.34) × 10⁻¹³,(2.78 ± 3.61) × 10⁻¹³,(0.58 ± 1.05) × 10⁻¹³,(2.07 ± 8.1) × 10⁻¹⁴,(1.35 ± 7.99) × 10⁻¹⁴
4FGL J1544.3-0649,00010145015,57964.04,236.07917,-6.825,15 44 19,-06 49.5,25.71 ± 52.25,-,-,-,-,-,(1.28 ± 61.77) × 10⁻¹⁵,-,-,-,-,-
4FGL J1544.3-0649,00010145016,57971.7,236.07917,-6.825,15 44 19,-06 49.5,-,-,-,22.94 ± 4.19,-,-,-,-,-,(1.78 ± 6.87) × 10⁻¹⁴,-,-
4FGL J1544.3-0649,00010145017,57974.13,236.07917,-6.825,15 44 19,-06 49.5,-,-,-,-,20.86 ± 1.04,21.34 ± 1.52,-,-,-,-,(1.5 ± 1.44) × 10⁻¹³,(1.13 ± 1.58) × 10⁻¹³
4FGL J1544.3-0649,00010145018,57991.41,236.07917,-6.825,15 44 19,-06 49.5,-,-,-,23.43 ± 4.31,-,-,-,-,-,(1.13 ± 4.47) × 10⁻¹⁴,-,-
4FGL J1544.3-0649,00010145024,58009.93,236.07917,-6.825,15 44 19,-06 49.5,-,-,19.71 ± 1.41,20.46 ± 1.03,-,20.72 ± 0.74,-,-,(0.41 ± 0.53) × 10⁻¹²,(1.75 ± 1.65) × 10⁻¹³,-,(2.01 ± 1.36) × 10⁻¹³
4FGL J1544.3-0649,00010145025,58014.23,236.07917,-6.825,15 44 19,-06 49.5,-,-,20.98 ± 4.64,-,20.96 ± 0.87,23.64 ± 8.63,-,-,(1.27 ± 5.44) × 10⁻¹³,-,(1.37 ± 1.1) × 10⁻¹³,(1.36 ± 10.83) × 10⁻¹⁴
