Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
5BZBJ0700,00038456001,54853.7,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,15.43 ± 0.05,16.19 ± 0.05,15.68 ± 0.06,15.5 ± 0.05,15.72 ± 0.04,15.69 ± 0.06,(1.38 ± 0.06) × 10⁻¹¹,(1.45 ± 0.06) × 10⁻¹¹,(1.5 ± 0.09) × 10⁻¹¹,(1.3 ± 0.06) × 10⁻¹¹,(1.25 ± 0.05) × 10⁻¹¹,(1.45 ± 0.08) × 10⁻¹¹
5BZBJ0700,00038456002,54874.51,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,15.28 ± 0.05,16.01 ± 0.05,15.58 ± 0.07,15.41 ± 0.05,15.54 ± 0.04,15.5 ± 0.07,(1.57 ± 0.07) × 10⁻¹¹,(1.7 ± 0.08) × 10⁻¹¹,(1.64 ± 0.1) × 10⁻¹¹,(1.42 ± 0.07) × 10⁻¹¹,(1.48 ± 0.06) × 10⁻¹¹,(1.73 ± 0.11) × 10⁻¹¹
5BZBJ0700,00041619001,55538.59,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,15.93 ± 0.05,16.62 ± 0.05,16.21 ± 0.07,16.11 ± 0.05,16.43 ± 0.05,16.25 ± 0.06,(0.87 ± 0.04) × 10⁻¹¹,(0.98 ± 0.04) × 10⁻¹¹,(0.92 ± 0.06) × 10⁻¹¹,(0.74 ± 0.04) × 10⁻¹¹,(0.65 ± 0.03) × 10⁻¹¹,(0.86 ± 0.05) × 10⁻¹¹
5BZBJ0700,00083377002,58181.64,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,15.73 ± 0.07,16.32 ± 0.07,15.82 ± 0.09,15.76 ± 0.07,16.19 ± 0.07,16.11 ± 0.08,(1.04 ± 0.07) × 10⁻¹¹,(1.29 ± 0.09) × 10⁻¹¹,(1.31 ± 0.11) × 10⁻¹¹,(1.02 ± 0.07) × 10⁻¹¹,(0.81 ± 0.05) × 10⁻¹¹,(0.98 ± 0.07) × 10⁻¹¹
5BZBJ0700,00011115009,58540.58,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,16.56 ± 0.1,16.77 ± 0.08,16.36 ± 0.12,16.35 ± 0.08,16.33 ± 0.07,16.33 ± 0.06,(0.49 ± 0.05) × 10⁻¹¹,(0.85 ± 0.06) × 10⁻¹¹,(0.8 ± 0.09) × 10⁻¹¹,(0.6 ± 0.05) × 10⁻¹¹,(0.71 ± 0.04) × 10⁻¹¹,(0.8 ± 0.05) × 10⁻¹¹
5BZBJ0700,00011115012,58561.8,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,-,-,-,-,16.04 ± 0.06,-,-,-,-,-,(0.93 ± 0.05) × 10⁻¹¹,-
5BZBJ0700,00011115015,58572.35,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,15.81 ± 0.09,16.53 ± 0.1,15.8 ± 0.11,16.17 ± 0.09,16.33 ± 0.08,16.25 ± 0.07,(0.97 ± 0.08) × 10⁻¹¹,(1.06 ± 0.09) × 10⁻¹¹,(1.34 ± 0.14) × 10⁻¹¹,(0.7 ± 0.06) × 10⁻¹¹,(0.71 ± 0.05) × 10⁻¹¹,(0.86 ± 0.05) × 10⁻¹¹
5BZBJ0700,00011115016,58575.44,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,15.79 ± 0.06,16.49 ± 0.06,15.95 ± 0.08,15.9 ± 0.05,16.35 ± 0.05,16.12 ± 0.05,(0.99 ± 0.05) × 10⁻¹¹,(1.1 ± 0.06) × 10⁻¹¹,(1.16 ± 0.08) × 10⁻¹¹,(0.9 ± 0.05) × 10⁻¹¹,(0.7 ± 0.04) × 10⁻¹¹,(0.97 ± 0.04) × 10⁻¹¹
5BZBJ0700,00011115027,58650.63,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,15.67 ± 0.05,16.36 ± 0.05,15.83 ± 0.07,15.89 ± 0.05,16.12 ± 0.04,16.03 ± 0.04,(1.1 ± 0.05) × 10⁻¹¹,(1.24 ± 0.06) × 10⁻¹¹,(1.31 ± 0.08) × 10⁻¹¹,(0.91 ± 0.04) × 10⁻¹¹,(0.86 ± 0.04) × 10⁻¹¹,(1.06 ± 0.04) × 10⁻¹¹
5BZBJ0700,00011115029,58670.31,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,15.57 ± 0.07,16.28 ± 0.07,15.77 ± 0.09,15.86 ± 0.07,16.22 ± 0.07,15.93 ± 0.06,(1.21 ± 0.08) × 10⁻¹¹,(1.33 ± 0.08) × 10⁻¹¹,(1.37 ± 0.12) × 10⁻¹¹,(0.93 ± 0.06) × 10⁻¹¹,(0.79 ± 0.05) × 10⁻¹¹,(1.15 ± 0.06) × 10⁻¹¹
5BZBJ0700,00011115030,58675.18,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,15.64 ± 0.05,16.39 ± 0.05,15.93 ± 0.06,15.97 ± 0.05,16.19 ± 0.04,16.06 ± 0.04,(1.13 ± 0.05) × 10⁻¹¹,(1.2 ± 0.05) × 10⁻¹¹,(1.19 ± 0.07) × 10⁻¹¹,(0.84 ± 0.04) × 10⁻¹¹,(0.81 ± 0.03) × 10⁻¹¹,(1.03 ± 0.04) × 10⁻¹¹
5BZBJ0700,00011115031,58680.49,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,15.68 ± 0.05,16.34 ± 0.05,15.97 ± 0.08,15.86 ± 0.05,16.07 ± 0.05,16.02 ± 0.04,(1.1 ± 0.05) × 10⁻¹¹,(1.27 ± 0.06) × 10⁻¹¹,(1.15 ± 0.08) × 10⁻¹¹,(0.93 ± 0.04) × 10⁻¹¹,(0.9 ± 0.04) × 10⁻¹¹,(1.07 ± 0.04) × 10⁻¹¹
5BZBJ0700,00011115032,58685.88,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,15.57 ± 0.06,16.35 ± 0.06,15.8 ± 0.09,15.8 ± 0.06,16.09 ± 0.05,15.96 ± 0.07,(1.21 ± 0.07) × 10⁻¹¹,(1.25 ± 0.07) × 10⁻¹¹,(1.35 ± 0.11) × 10⁻¹¹,(0.99 ± 0.05) × 10⁻¹¹,(0.88 ± 0.04) × 10⁻¹¹,(1.13 ± 0.08) × 10⁻¹¹
5BZBJ0700,00011115033,58690.91,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,15.35 ± 0.06,16.04 ± 0.06,15.46 ± 0.08,15.51 ± 0.05,15.76 ± 0.05,15.68 ± 0.05,(1.48 ± 0.08) × 10⁻¹¹,(1.67 ± 0.09) × 10⁻¹¹,(1.84 ± 0.13) × 10⁻¹¹,(1.29 ± 0.06) × 10⁻¹¹,(1.2 ± 0.05) × 10⁻¹¹,(1.46 ± 0.06) × 10⁻¹¹
5BZBJ0700,00011115034,58718.68,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,15.76 ± 0.06,16.35 ± 0.06,15.95 ± 0.09,15.87 ± 0.05,16.21 ± 0.05,16.01 ± 0.04,(1.02 ± 0.06) × 10⁻¹¹,(1.25 ± 0.07) × 10⁻¹¹,(1.17 ± 0.09) × 10⁻¹¹,(0.93 ± 0.04) × 10⁻¹¹,(0.8 ± 0.04) × 10⁻¹¹,(1.08 ± 0.04) × 10⁻¹¹
5BZBJ0700,00011115035,58723.55,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,15.56 ± 0.05,16.31 ± 0.05,15.87 ± 0.07,15.85 ± 0.04,16.1 ± 0.04,15.98 ± 0.04,(1.22 ± 0.05) × 10⁻¹¹,(1.29 ± 0.06) × 10⁻¹¹,(1.25 ± 0.08) × 10⁻¹¹,(0.94 ± 0.04) × 10⁻¹¹,(0.88 ± 0.03) × 10⁻¹¹,(1.11 ± 0.04) × 10⁻¹¹
5BZBJ0700,00011115039,58743.44,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,15.5 ± 0.08,16.36 ± 0.08,15.97 ± 0.12,15.88 ± 0.07,16.07 ± 0.07,16.01 ± 0.06,(1.29 ± 0.09) × 10⁻¹¹,(1.24 ± 0.09) × 10⁻¹¹,(1.15 ± 0.13) × 10⁻¹¹,(0.92 ± 0.06) × 10⁻¹¹,(0.91 ± 0.06) × 10⁻¹¹,(1.08 ± 0.06) × 10⁻¹¹
5BZBJ0700,00011115040,58748.31,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,15.88 ± 0.06,16.55 ± 0.05,16.06 ± 0.08,16.03 ± 0.05,16.34 ± 0.05,16.18 ± 0.05,(0.91 ± 0.05) × 10⁻¹¹,(1.04 ± 0.05) × 10⁻¹¹,(1.05 ± 0.07) × 10⁻¹¹,(0.8 ± 0.04) × 10⁻¹¹,(0.7 ± 0.03) × 10⁻¹¹,(0.92 ± 0.04) × 10⁻¹¹
5BZBJ0700,00011115041,58779.53,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,16.18 ± 0.1,16.72 ± 0.09,16.17 ± 0.13,16.36 ± 0.09,16.61 ± 0.08,16.65 ± 0.07,(0.69 ± 0.06) × 10⁻¹¹,(0.89 ± 0.08) × 10⁻¹¹,(0.96 ± 0.11) × 10⁻¹¹,(0.59 ± 0.05) × 10⁻¹¹,(0.55 ± 0.04) × 10⁻¹¹,(0.6 ± 0.04) × 10⁻¹¹
5BZBJ0700,00011115042,58786.69,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,16.1 ± 0.05,16.9 ± 0.05,16.52 ± 0.08,16.29 ± 0.05,16.63 ± 0.05,16.54 ± 0.05,(0.74 ± 0.04) × 10⁻¹¹,(0.76 ± 0.04) × 10⁻¹¹,(0.69 ± 0.05) × 10⁻¹¹,(0.63 ± 0.03) × 10⁻¹¹,(0.54 ± 0.02) × 10⁻¹¹,(0.66 ± 0.03) × 10⁻¹¹
5BZBJ0700,00011115044,58800.21,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,16.23 ± 0.07,16.83 ± 0.07,16.51 ± 0.11,16.38 ± 0.07,16.69 ± 0.07,16.51 ± 0.06,(0.66 ± 0.05) × 10⁻¹¹,(0.8 ± 0.05) × 10⁻¹¹,(0.7 ± 0.07) × 10⁻¹¹,(0.58 ± 0.04) × 10⁻¹¹,(0.51 ± 0.03) × 10⁻¹¹,(0.68 ± 0.04) × 10⁻¹¹
5BZBJ0700,00011115050,58840.23,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,15.97 ± 0.09,16.59 ± 0.08,16.23 ± 0.13,16.06 ± 0.08,16.25 ± 0.07,16.23 ± 0.08,(0.84 ± 0.07) × 10⁻¹¹,(1.0 ± 0.08) × 10⁻¹¹,(0.91 ± 0.1) × 10⁻¹¹,(0.78 ± 0.06) × 10⁻¹¹,(0.76 ± 0.05) × 10⁻¹¹,(0.88 ± 0.06) × 10⁻¹¹
5BZBJ0700,00011115051,58845.23,105.13017,-66.17922,7 00 31.2408,-66 10 45.192,15.9 ± 0.07,16.67 ± 0.07,16.2 ± 0.11,16.08 ± 0.07,16.42 ± 0.07,16.16 ± 0.06,(0.89 ± 0.06) × 10⁻¹¹,(0.94 ± 0.06) × 10⁻¹¹,(0.93 ± 0.09) × 10⁻¹¹,(0.77 ± 0.05) × 10⁻¹¹,(0.65 ± 0.04) × 10⁻¹¹,(0.93 ± 0.05) × 10⁻¹¹
