Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
5BZBJ1824,00036394001,54150.05,276.02948,56.85042,18 24 07.0752,56 51 01.512,-,-,-,17.34 ± 0.12,-,-,-,-,-,(1.77 ± 0.19) × 10⁻¹²,-,-
5BZBJ1824,00036394002,54173.78,276.02948,56.85042,18 24 07.0752,56 51 01.512,17.27 ± 0.09,17.73 ± 0.08,17.07 ± 0.11,17.27 ± 0.09,17.41 ± 0.07,17.38 ± 0.1,(2.01 ± 0.16) × 10⁻¹²,(2.92 ± 0.22) × 10⁻¹²,(0.36 ± 0.04) × 10⁻¹¹,(1.87 ± 0.15) × 10⁻¹²,(1.8 ± 0.11) × 10⁻¹²,(1.99 ± 0.19) × 10⁻¹²
5BZBJ1824,00036394003,54194.81,276.02948,56.85042,18 24 07.0752,56 51 01.512,17.57 ± 0.18,18.21 ± 0.21,17.33 ± 0.23,17.39 ± 0.13,17.96 ± 0.13,17.46 ± 0.15,(1.52 ± 0.25) × 10⁻¹²,(1.88 ± 0.36) × 10⁻¹²,(2.84 ± 0.61) × 10⁻¹²,(1.68 ± 0.2) × 10⁻¹²,(1.09 ± 0.13) × 10⁻¹²,(1.85 ± 0.25) × 10⁻¹²
5BZBJ1824,00036394004,54207.53,276.02948,56.85042,18 24 07.0752,56 51 01.512,-,-,-,16.98 ± 0.04,-,-,-,-,-,(2.45 ± 0.09) × 10⁻¹²,-,-
5BZBJ1824,00036394005,54564.29,276.02948,56.85042,18 24 07.0752,56 51 01.512,15.66 ± 0.04,-,-,-,-,-,(0.88 ± 0.03) × 10⁻¹¹,-,-,-,-,-
5BZBJ1824,00036394006,54982.71,276.02948,56.85042,18 24 07.0752,56 51 01.512,-,-,-,-,-,17.54 ± 0.06,-,-,-,-,-,(1.71 ± 0.09) × 10⁻¹²
5BZBJ1824,00036394007,54993.82,276.02948,56.85042,18 24 07.0752,56 51 01.512,-,-,-,-,17.85 ± 0.06,-,-,-,-,-,(1.21 ± 0.06) × 10⁻¹²,-
5BZBJ1824,00036394009,55086.92,276.02948,56.85042,18 24 07.0752,56 51 01.512,-,-,-,-,-,17.96 ± 0.15,-,-,-,-,-,(1.17 ± 0.16) × 10⁻¹²
5BZBJ1824,00036394010,55414.66,276.02948,56.85042,18 24 07.0752,56 51 01.512,-,-,-,-,-,18.31 ± 0.38,-,-,-,-,-,(0.85 ± 0.3) × 10⁻¹²
5BZBJ1824,00036394011,55416.78,276.02948,56.85042,18 24 07.0752,56 51 01.512,17.48 ± 0.21,-,-,17.95 ± 0.16,-,-,(1.66 ± 0.32) × 10⁻¹²,-,-,(1.0 ± 0.15) × 10⁻¹²,-,-
