Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
5BZQJ0525,00037354001,54672.98,81.38084,-45.96519,5 25 31.4016,-45 57 54.684,14.77 ± 0.02,-,-,-,14.32 ± 0.02,-,(1.84 ± 0.04) × 10⁻¹¹,-,-,-,(2.68 ± 0.06) × 10⁻¹¹,-
5BZQJ0525,00037354002,54675.87,81.38084,-45.96519,5 25 31.4016,-45 57 54.684,-,-,-,14.74 ± 0.02,-,-,-,-,-,(1.71 ± 0.04) × 10⁻¹¹,-,-
5BZQJ0525,00037354003,54677.52,81.38084,-45.96519,5 25 31.4016,-45 57 54.684,-,-,-,-,14.54 ± 0.03,-,-,-,-,-,(2.18 ± 0.05) × 10⁻¹¹,-
5BZQJ0525,00033529001,56977.03,81.38084,-45.96519,5 25 31.4016,-45 57 54.684,14.76 ± 0.04,15.59 ± 0.03,15.11 ± 0.05,14.58 ± 0.03,14.42 ± 0.03,14.46 ± 0.02,(1.85 ± 0.06) × 10⁻¹¹,(1.95 ± 0.06) × 10⁻¹¹,(2.08 ± 0.09) × 10⁻¹¹,(1.98 ± 0.06) × 10⁻¹¹,(2.44 ± 0.06) × 10⁻¹¹,(2.47 ± 0.06) × 10⁻¹¹
5BZQJ0525,00033529002,56980.84,81.38084,-45.96519,5 25 31.4016,-45 57 54.684,14.93 ± 0.04,15.63 ± 0.03,15.02 ± 0.04,14.8 ± 0.03,14.59 ± 0.03,14.63 ± 0.03,(1.59 ± 0.05) × 10⁻¹¹,(1.88 ± 0.06) × 10⁻¹¹,(2.26 ± 0.09) × 10⁻¹¹,(1.61 ± 0.05) × 10⁻¹¹,(2.07 ± 0.05) × 10⁻¹¹,(2.12 ± 0.06) × 10⁻¹¹
5BZQJ0525,00033529003,56982.92,81.38084,-45.96519,5 25 31.4016,-45 57 54.684,14.94 ± 0.04,15.66 ± 0.04,15.3 ± 0.08,14.8 ± 0.03,14.62 ± 0.04,14.56 ± 0.05,(1.57 ± 0.05) × 10⁻¹¹,(1.83 ± 0.07) × 10⁻¹¹,(1.75 ± 0.14) × 10⁻¹¹,(1.62 ± 0.05) × 10⁻¹¹,(2.02 ± 0.07) × 10⁻¹¹,(2.25 ± 0.1) × 10⁻¹¹
5BZQJ0525,00033529004,56984.78,81.38084,-45.96519,5 25 31.4016,-45 57 54.684,15.01 ± 0.06,15.79 ± 0.06,15.05 ± 0.07,14.91 ± 0.05,14.71 ± 0.04,14.77 ± 0.04,(1.47 ± 0.08) × 10⁻¹¹,(1.61 ± 0.09) × 10⁻¹¹,(2.2 ± 0.14) × 10⁻¹¹,(1.47 ± 0.06) × 10⁻¹¹,(1.86 ± 0.07) × 10⁻¹¹,(1.86 ± 0.06) × 10⁻¹¹
5BZQJ0525,00033529005,56988.78,81.38084,-45.96519,5 25 31.4016,-45 57 54.684,15.07 ± 0.05,15.6 ± 0.05,15.11 ± 0.06,14.94 ± 0.04,14.77 ± 0.04,14.73 ± 0.04,(1.39 ± 0.07) × 10⁻¹¹,(1.92 ± 0.08) × 10⁻¹¹,(2.08 ± 0.12) × 10⁻¹¹,(1.43 ± 0.06) × 10⁻¹¹,(1.77 ± 0.06) × 10⁻¹¹,(1.92 ± 0.06) × 10⁻¹¹
5BZQJ0525,00081582001,57256.13,81.38084,-45.96519,5 25 31.4016,-45 57 54.684,15.17 ± 0.02,-,-,-,-,-,(1.27 ± 0.03) × 10⁻¹¹,-,-,-,-,-
5BZQJ0525,00033529006,58957.46,81.38084,-45.96519,5 25 31.4016,-45 57 54.684,15.36 ± 0.05,15.87 ± 0.05,15.17 ± 0.06,15.15 ± 0.04,15.07 ± 0.04,15.1 ± 0.04,(1.07 ± 0.05) × 10⁻¹¹,(1.49 ± 0.07) × 10⁻¹¹,(1.97 ± 0.11) × 10⁻¹¹,(1.17 ± 0.05) × 10⁻¹¹,(1.33 ± 0.04) × 10⁻¹¹,(1.37 ± 0.05) × 10⁻¹¹
5BZQJ0525,00033529007,58960.69,81.38084,-45.96519,5 25 31.4016,-45 57 54.684,15.22 ± 0.05,15.8 ± 0.05,15.23 ± 0.06,15.06 ± 0.04,15.06 ± 0.04,15.0 ± 0.04,(1.21 ± 0.06) × 10⁻¹¹,(1.6 ± 0.07) × 10⁻¹¹,(1.86 ± 0.11) × 10⁻¹¹,(1.28 ± 0.05) × 10⁻¹¹,(1.35 ± 0.05) × 10⁻¹¹,(1.51 ± 0.05) × 10⁻¹¹
5BZQJ0525,00033529008,58963.24,81.38084,-45.96519,5 25 31.4016,-45 57 54.684,15.31 ± 0.05,15.79 ± 0.04,15.3 ± 0.06,15.17 ± 0.04,15.17 ± 0.03,15.18 ± 0.03,(1.11 ± 0.05) × 10⁻¹¹,(1.61 ± 0.07) × 10⁻¹¹,(1.76 ± 0.09) × 10⁻¹¹,(1.15 ± 0.04) × 10⁻¹¹,(1.22 ± 0.04) × 10⁻¹¹,(1.27 ± 0.04) × 10⁻¹¹
5BZQJ0525,00033529009,58966.42,81.38084,-45.96519,5 25 31.4016,-45 57 54.684,15.21 ± 0.05,15.91 ± 0.05,15.12 ± 0.06,14.98 ± 0.04,14.9 ± 0.03,14.95 ± 0.03,(1.23 ± 0.06) × 10⁻¹¹,(1.44 ± 0.07) × 10⁻¹¹,(2.07 ± 0.11) × 10⁻¹¹,(1.38 ± 0.05) × 10⁻¹¹,(1.56 ± 0.05) × 10⁻¹¹,(1.58 ± 0.05) × 10⁻¹¹
5BZQJ0525,00033529010,58969.18,81.38084,-45.96519,5 25 31.4016,-45 57 54.684,15.13 ± 0.05,15.77 ± 0.05,15.25 ± 0.06,15.01 ± 0.04,14.96 ± 0.03,14.9 ± 0.03,(1.32 ± 0.06) × 10⁻¹¹,(1.65 ± 0.07) × 10⁻¹¹,(1.83 ± 0.1) × 10⁻¹¹,(1.33 ± 0.05) × 10⁻¹¹,(1.47 ± 0.04) × 10⁻¹¹,(1.64 ± 0.05) × 10⁻¹¹
5BZQJ0525,00013499001,58983.69,81.38084,-45.96519,5 25 31.4016,-45 57 54.684,14.65 ± 0.04,15.52 ± 0.04,15.03 ± 0.07,14.29 ± 0.03,14.0 ± 0.03,14.01 ± 0.07,(2.05 ± 0.07) × 10⁻¹¹,(2.07 ± 0.07) × 10⁻¹¹,(2.25 ± 0.15) × 10⁻¹¹,(2.6 ± 0.08) × 10⁻¹¹,(0.36 ± 0.01) × 10⁻¹⁰,(0.37 ± 0.02) × 10⁻¹⁰
5BZQJ0525,00013499002,58985.94,81.38084,-45.96519,5 25 31.4016,-45 57 54.684,14.56 ± 0.04,15.42 ± 0.04,14.94 ± 0.04,14.2 ± 0.03,13.9 ± 0.03,14.05 ± 0.03,(2.24 ± 0.07) × 10⁻¹¹,(2.27 ± 0.07) × 10⁻¹¹,(2.43 ± 0.1) × 10⁻¹¹,(2.81 ± 0.08) × 10⁻¹¹,(0.39 ± 0.01) × 10⁻¹⁰,(0.36 ± 0.01) × 10⁻¹⁰
5BZQJ0525,00013499003,58987.7,81.38084,-45.96519,5 25 31.4016,-45 57 54.684,14.72 ± 0.05,15.47 ± 0.05,14.9 ± 0.06,14.4 ± 0.04,14.25 ± 0.03,14.25 ± 0.03,(1.92 ± 0.09) × 10⁻¹¹,(2.16 ± 0.1) × 10⁻¹¹,(2.54 ± 0.14) × 10⁻¹¹,(2.33 ± 0.08) × 10⁻¹¹,(2.84 ± 0.08) × 10⁻¹¹,(2.99 ± 0.09) × 10⁻¹¹
