Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
B3 1633+382,00036389001,54139.53,248.81455,38.13458,16 35 15.492,38 08 04.488,16.94 ± 0.15,18.04 ± 0.2,17.93 ± 0.39,17.38 ± 0.19,19.43 ± 0.41,18.48 ± 0.49,(2.16 ± 0.3) × 10⁻¹²,(1.82 ± 0.34) × 10⁻¹²,(1.43 ± 0.51) × 10⁻¹²,(1.24 ± 0.22) × 10⁻¹²,(1.92 ± 0.72) × 10⁻¹³,(0.47 ± 0.21) × 10⁻¹²
B3 1633+382,00036389002,54153.89,248.81455,38.13458,16 35 15.492,38 08 04.488,17.0 ± 0.06,18.14 ± 0.13,18.14 ± 0.18,17.3 ± 0.07,19.48 ± 0.17,18.41 ± 0.14,(2.06 ± 0.12) × 10⁻¹²,(1.65 ± 0.2) × 10⁻¹²,(1.17 ± 0.19) × 10⁻¹²,(1.34 ± 0.09) × 10⁻¹²,(1.83 ± 0.28) × 10⁻¹³,(0.5 ± 0.06) × 10⁻¹²
B3 1633+382,00036389003,54154.17,248.81455,38.13458,16 35 15.492,38 08 04.488,16.98 ± 0.09,18.1 ± 0.13,17.67 ± 0.22,17.46 ± 0.11,18.95 ± 0.17,18.27 ± 0.19,(2.08 ± 0.17) × 10⁻¹²,(1.71 ± 0.2) × 10⁻¹²,(1.81 ± 0.36) × 10⁻¹²,(1.16 ± 0.12) × 10⁻¹²,(2.98 ± 0.48) × 10⁻¹³,(0.57 ± 0.1) × 10⁻¹²
B3 1633+382,00036389004,54207.65,248.81455,38.13458,16 35 15.492,38 08 04.488,-,-,-,17.14 ± 0.24,-,-,-,-,-,(1.55 ± 0.34) × 10⁻¹²,-,-
B3 1633+382,00036389005,54577.79,248.81455,38.13458,16 35 15.492,38 08 04.488,-,-,-,-,19.14 ± 0.17,-,-,-,-,-,(2.49 ± 0.39) × 10⁻¹³,-
B3 1633+382,00036389007,54936.12,248.81455,38.13458,16 35 15.492,38 08 04.488,16.82 ± 0.03,-,-,-,-,-,(2.41 ± 0.06) × 10⁻¹²,-,-,-,-,-
B3 1633+382,00036389008,54943.01,248.81455,38.13458,16 35 15.492,38 08 04.488,-,-,-,17.03 ± 0.03,-,-,-,-,-,(1.71 ± 0.05) × 10⁻¹²,-,-
B3 1633+382,00036389009,54950.44,248.81455,38.13458,16 35 15.492,38 08 04.488,-,-,-,-,-,18.06 ± 0.1,-,-,-,-,-,(0.69 ± 0.07) × 10⁻¹²
B3 1633+382,00036389011,54965.45,248.81455,38.13458,16 35 15.492,38 08 04.488,-,-,-,-,18.99 ± 0.1,-,-,-,-,-,(2.87 ± 0.27) × 10⁻¹³,-
B3 1633+382,00036389012,54971.31,248.81455,38.13458,16 35 15.492,38 08 04.488,-,-,-,17.06 ± 0.07,-,-,-,-,-,(1.67 ± 0.1) × 10⁻¹²,-,-
