Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
BL LAC,00035028001,53577.49,330.68038,42.27777,22 02 43.2912,42 16 39.972,-,-,-,-,16.93 ± 0.19,-,-,-,-,-,(2.02 ± 0.36) × 10⁻¹¹,-
BL LAC,00035028002,53671.25,330.68038,42.27777,22 02 43.2912,42 16 39.972,14.2 ± 0.04,14.68 ± 0.04,13.86 ± 0.04,14.82 ± 0.04,15.55 ± 0.04,15.53 ± 0.06,(1.12 ± 0.04) × 10⁻¹⁰,(1.29 ± 0.05) × 10⁻¹⁰,(1.44 ± 0.05) × 10⁻¹⁰,(0.89 ± 0.04) × 10⁻¹⁰,(0.72 ± 0.03) × 10⁻¹⁰,(1.02 ± 0.06) × 10⁻¹⁰
BL LAC,00035028003,53672.37,330.68038,42.27777,22 02 43.2912,42 16 39.972,14.53 ± 0.05,-,14.04 ± 0.04,15.18 ± 0.05,15.92 ± 0.05,15.92 ± 0.06,(0.82 ± 0.03) × 10⁻¹⁰,-,(1.22 ± 0.04) × 10⁻¹⁰,(0.64 ± 0.03) × 10⁻¹⁰,(0.51 ± 0.02) × 10⁻¹⁰,(0.71 ± 0.04) × 10⁻¹⁰
BL LAC,00035028004,53673.58,330.68038,42.27777,22 02 43.2912,42 16 39.972,14.65 ± 0.05,-,14.2 ± 0.04,15.32 ± 0.05,16.04 ± 0.05,16.02 ± 0.07,(0.74 ± 0.03) × 10⁻¹⁰,-,(1.05 ± 0.04) × 10⁻¹⁰,(0.56 ± 0.03) × 10⁻¹⁰,(0.46 ± 0.02) × 10⁻¹⁰,(0.65 ± 0.04) × 10⁻¹⁰
BL LAC,00035028005,53674.5,330.68038,42.27777,22 02 43.2912,42 16 39.972,14.9 ± 0.04,15.28 ± 0.04,14.42 ± 0.04,15.61 ± 0.05,16.39 ± 0.05,16.28 ± 0.07,(0.59 ± 0.02) × 10⁻¹⁰,(0.74 ± 0.03) × 10⁻¹⁰,(0.86 ± 0.03) × 10⁻¹⁰,(0.43 ± 0.02) × 10⁻¹⁰,(0.33 ± 0.02) × 10⁻¹⁰,(0.51 ± 0.03) × 10⁻¹⁰
BL LAC,00035028006,53675.33,330.68038,42.27777,22 02 43.2912,42 16 39.972,14.66 ± 0.05,15.04 ± 0.08,14.14 ± 0.05,15.22 ± 0.06,15.98 ± 0.06,16.01 ± 0.09,(0.73 ± 0.03) × 10⁻¹⁰,(0.92 ± 0.07) × 10⁻¹⁰,(1.11 ± 0.05) × 10⁻¹⁰,(0.61 ± 0.04) × 10⁻¹⁰,(0.49 ± 0.03) × 10⁻¹⁰,(0.65 ± 0.06) × 10⁻¹⁰
BL LAC,00035028007,53676.37,330.68038,42.27777,22 02 43.2912,42 16 39.972,14.75 ± 0.04,15.17 ± 0.05,14.3 ± 0.04,15.4 ± 0.05,16.16 ± 0.05,15.99 ± 0.07,(0.68 ± 0.03) × 10⁻¹⁰,(0.81 ± 0.03) × 10⁻¹⁰,(0.96 ± 0.04) × 10⁻¹⁰,(0.52 ± 0.02) × 10⁻¹⁰,(0.41 ± 0.02) × 10⁻¹⁰,(0.66 ± 0.04) × 10⁻¹⁰
BL LAC,00035028008,53677.42,330.68038,42.27777,22 02 43.2912,42 16 39.972,14.99 ± 0.04,15.42 ± 0.04,14.49 ± 0.04,15.65 ± 0.05,16.45 ± 0.05,16.41 ± 0.07,(0.54 ± 0.02) × 10⁻¹⁰,(0.65 ± 0.02) × 10⁻¹⁰,(0.81 ± 0.03) × 10⁻¹⁰,(0.41 ± 0.02) × 10⁻¹⁰,(3.14 ± 0.14) × 10⁻¹¹,(0.45 ± 0.03) × 10⁻¹⁰
BL LAC,00035028009,53682.4,330.68038,42.27777,22 02 43.2912,42 16 39.972,15.14 ± 0.03,15.52 ± 0.03,14.65 ± 0.03,15.79 ± 0.03,16.61 ± 0.04,16.56 ± 0.05,(0.47 ± 0.01) × 10⁻¹⁰,(0.59 ± 0.01) × 10⁻¹⁰,(0.7 ± 0.02) × 10⁻¹⁰,(0.36 ± 0.01) × 10⁻¹⁰,(2.73 ± 0.09) × 10⁻¹¹,(0.39 ± 0.02) × 10⁻¹⁰
BL LAC,00030720001,53883.42,330.68038,42.27777,22 02 43.2912,42 16 39.972,15.4 ± 0.04,15.71 ± 0.03,14.84 ± 0.04,16.1 ± 0.05,16.78 ± 0.05,16.71 ± 0.07,(0.37 ± 0.01) × 10⁻¹⁰,(0.5 ± 0.01) × 10⁻¹⁰,(0.59 ± 0.02) × 10⁻¹⁰,(2.73 ± 0.12) × 10⁻¹¹,(2.32 ± 0.1) × 10⁻¹¹,(0.34 ± 0.02) × 10⁻¹⁰
BL LAC,00030720002,53883.43,330.68038,42.27777,22 02 43.2912,42 16 39.972,15.39 ± 0.05,15.73 ± 0.04,14.72 ± 0.05,16.05 ± 0.07,16.87 ± 0.07,16.79 ± 0.1,(0.38 ± 0.02) × 10⁻¹⁰,(0.49 ± 0.02) × 10⁻¹⁰,(0.65 ± 0.03) × 10⁻¹⁰,(2.85 ± 0.18) × 10⁻¹¹,(2.14 ± 0.14) × 10⁻¹¹,(0.32 ± 0.03) × 10⁻¹⁰
BL LAC,00090042001,54698.78,330.68038,42.27777,22 02 43.2912,42 16 39.972,15.44 ± 0.04,15.85 ± 0.04,14.95 ± 0.04,16.21 ± 0.06,16.9 ± 0.06,16.78 ± 0.08,(0.36 ± 0.01) × 10⁻¹⁰,(0.44 ± 0.02) × 10⁻¹⁰,(0.53 ± 0.02) × 10⁻¹⁰,(2.47 ± 0.13) × 10⁻¹¹,(2.08 ± 0.11) × 10⁻¹¹,(0.32 ± 0.02) × 10⁻¹⁰
BL LAC,00090042002,54699.67,330.68038,42.27777,22 02 43.2912,42 16 39.972,15.5 ± 0.04,15.82 ± 0.03,14.96 ± 0.04,16.05 ± 0.05,16.75 ± 0.05,16.81 ± 0.07,(0.34 ± 0.01) × 10⁻¹⁰,(0.45 ± 0.01) × 10⁻¹⁰,(0.53 ± 0.02) × 10⁻¹⁰,(2.86 ± 0.13) × 10⁻¹¹,(2.38 ± 0.11) × 10⁻¹¹,(3.12 ± 0.2) × 10⁻¹¹
BL LAC,00090042003,54700.21,330.68038,42.27777,22 02 43.2912,42 16 39.972,15.58 ± 0.06,15.93 ± 0.05,15.04 ± 0.06,16.33 ± 0.08,17.06 ± 0.09,16.99 ± 0.14,(3.15 ± 0.17) × 10⁻¹¹,(0.41 ± 0.02) × 10⁻¹⁰,(0.49 ± 0.03) × 10⁻¹⁰,(2.21 ± 0.17) × 10⁻¹¹,(1.79 ± 0.14) × 10⁻¹¹,(2.64 ± 0.34) × 10⁻¹¹
