Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
CTA 102,00036401001,54210.38,338.1517,11.73081,22 32 36.408,11 43 50.916,-,-,-,-,-,16.35 ± 0.04,-,-,-,-,-,(0.55 ± 0.02) × 10⁻¹¹
CTA 102,00036401002,54212.12,338.1517,11.73081,22 32 36.408,11 43 50.916,16.49 ± 0.03,-,-,-,-,-,(0.43 ± 0.01) × 10⁻¹¹,-,-,-,-,-
CTA 102,00036401003,54214.4,338.1517,11.73081,22 32 36.408,11 43 50.916,-,-,-,-,-,16.4 ± 0.05,-,-,-,-,-,(0.53 ± 0.02) × 10⁻¹¹
CTA 102,00036401004,54221.39,338.1517,11.73081,22 32 36.408,11 43 50.916,-,-,-,-,16.72 ± 0.03,-,-,-,-,-,(0.36 ± 0.01) × 10⁻¹¹,-
CTA 102,00090097001,55055.07,338.1517,11.73081,22 32 36.408,11 43 50.916,-,-,-,16.39 ± 0.05,-,-,-,-,-,(0.44 ± 0.02) × 10⁻¹¹,-,-
CTA 102,00090097002,55060.48,338.1517,11.73081,22 32 36.408,11 43 50.916,-,-,-,16.28 ± 0.03,-,-,-,-,-,(0.49 ± 0.01) × 10⁻¹¹,-,-
CTA 102,00090097003,55083.75,338.1517,11.73081,22 32 36.408,11 43 50.916,-,-,-,16.3 ± 0.03,-,-,-,-,-,(0.48 ± 0.01) × 10⁻¹¹,-,-
CTA 102,00036401005,55164.38,338.1517,11.73081,22 32 36.408,11 43 50.916,16.34 ± 0.08,17.59 ± 0.12,17.25 ± 0.16,16.14 ± 0.07,16.56 ± 0.06,16.21 ± 0.07,(0.49 ± 0.04) × 10⁻¹¹,(0.34 ± 0.04) × 10⁻¹¹,(3.15 ± 0.47) × 10⁻¹²,(0.56 ± 0.04) × 10⁻¹¹,(0.42 ± 0.02) × 10⁻¹¹,(0.62 ± 0.04) × 10⁻¹¹
CTA 102,00036401006,55212.57,338.1517,11.73081,22 32 36.408,11 43 50.916,16.38 ± 0.03,-,-,-,-,-,(0.47 ± 0.01) × 10⁻¹¹,-,-,-,-,-
CTA 102,00036401007,55501.4,338.1517,11.73081,22 32 36.408,11 43 50.916,16.32 ± 0.08,17.44 ± 0.1,17.08 ± 0.14,16.17 ± 0.07,16.57 ± 0.06,16.23 ± 0.07,(0.5 ± 0.04) × 10⁻¹¹,(0.39 ± 0.04) × 10⁻¹¹,(0.37 ± 0.05) × 10⁻¹¹,(0.54 ± 0.03) × 10⁻¹¹,(0.41 ± 0.02) × 10⁻¹¹,(0.61 ± 0.04) × 10⁻¹¹
CTA 102,00036401008,55717.56,338.1517,11.73081,22 32 36.408,11 43 50.916,-,-,-,-,16.47 ± 0.03,-,-,-,-,-,(0.46 ± 0.01) × 10⁻¹¹,-
CTA 102,00036401009,55731.61,338.1517,11.73081,22 32 36.408,11 43 50.916,-,-,-,16.15 ± 0.03,-,-,-,-,-,(0.55 ± 0.02) × 10⁻¹¹,-,-
CTA 102,00091094001,55808.87,338.1517,11.73081,22 32 36.408,11 43 50.916,16.41 ± 0.03,17.34 ± 0.06,17.0 ± 0.09,16.1 ± 0.05,16.35 ± 0.04,16.1 ± 0.05,(0.46 ± 0.01) × 10⁻¹¹,(0.43 ± 0.02) × 10⁻¹¹,(0.4 ± 0.03) × 10⁻¹¹,(0.58 ± 0.02) × 10⁻¹¹,(0.51 ± 0.02) × 10⁻¹¹,(0.69 ± 0.03) × 10⁻¹¹
CTA 102,00091094002,55818.23,338.1517,11.73081,22 32 36.408,11 43 50.916,16.31 ± 0.05,17.41 ± 0.06,16.99 ± 0.09,16.09 ± 0.04,16.38 ± 0.04,16.12 ± 0.05,(0.51 ± 0.02) × 10⁻¹¹,(0.4 ± 0.02) × 10⁻¹¹,(0.4 ± 0.03) × 10⁻¹¹,(0.58 ± 0.02) × 10⁻¹¹,(0.5 ± 0.02) × 10⁻¹¹,(0.68 ± 0.03) × 10⁻¹¹
CTA 102,00091094003,55823.31,338.1517,11.73081,22 32 36.408,11 43 50.916,16.35 ± 0.05,17.49 ± 0.06,16.86 ± 0.08,16.09 ± 0.03,16.41 ± 0.04,16.11 ± 0.05,(0.49 ± 0.02) × 10⁻¹¹,(0.38 ± 0.02) × 10⁻¹¹,(0.45 ± 0.03) × 10⁻¹¹,(0.59 ± 0.02) × 10⁻¹¹,(0.48 ± 0.02) × 10⁻¹¹,(0.69 ± 0.03) × 10⁻¹¹
CTA 102,00091094004,55824.28,338.1517,11.73081,22 32 36.408,11 43 50.916,16.26 ± 0.06,17.39 ± 0.08,17.06 ± 0.13,16.06 ± 0.06,16.36 ± 0.05,16.12 ± 0.07,(0.53 ± 0.03) × 10⁻¹¹,(0.41 ± 0.03) × 10⁻¹¹,(0.37 ± 0.04) × 10⁻¹¹,(0.6 ± 0.03) × 10⁻¹¹,(0.5 ± 0.02) × 10⁻¹¹,(0.68 ± 0.04) × 10⁻¹¹
CTA 102,00091094005,55825.78,338.1517,11.73081,22 32 36.408,11 43 50.916,16.4 ± 0.05,17.39 ± 0.06,16.98 ± 0.08,16.09 ± 0.04,16.37 ± 0.04,16.13 ± 0.05,(0.47 ± 0.02) × 10⁻¹¹,(0.41 ± 0.02) × 10⁻¹¹,(0.4 ± 0.03) × 10⁻¹¹,(0.58 ± 0.02) × 10⁻¹¹,(0.5 ± 0.02) × 10⁻¹¹,(0.67 ± 0.03) × 10⁻¹¹
CTA 102,00091094006,55826.42,338.1517,11.73081,22 32 36.408,11 43 50.916,16.26 ± 0.05,17.44 ± 0.06,16.99 ± 0.09,16.04 ± 0.05,16.37 ± 0.04,16.1 ± 0.05,(0.53 ± 0.02) × 10⁻¹¹,(0.39 ± 0.02) × 10⁻¹¹,(0.4 ± 0.03) × 10⁻¹¹,(0.61 ± 0.03) × 10⁻¹¹,(0.5 ± 0.02) × 10⁻¹¹,(0.7 ± 0.03) × 10⁻¹¹
