Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
EXO 1811+3143,00040643001,55694.9,273.39667,31.73822,18 13 35.2008,31 44 17.592,16.46 ± 0.07,17.25 ± 0.07,16.69 ± 0.1,16.32 ± 0.07,16.58 ± 0.06,16.44 ± 0.07,(0.4 ± 0.03) × 10⁻¹¹,(0.43 ± 0.03) × 10⁻¹¹,(0.49 ± 0.05) × 10⁻¹¹,(0.42 ± 0.03) × 10⁻¹¹,(0.35 ± 0.02) × 10⁻¹¹,(0.42 ± 0.03) × 10⁻¹¹
EXO 1811+3143,00040643002,55700.89,273.39667,31.73822,18 13 35.2008,31 44 17.592,16.27 ± 0.03,-,-,-,-,-,(0.48 ± 0.01) × 10⁻¹¹,-,-,-,-,-
EXO 1811+3143,00040643003,55705.64,273.39667,31.73822,18 13 35.2008,31 44 17.592,-,-,-,-,16.54 ± 0.04,-,-,-,-,-,(0.36 ± 0.01) × 10⁻¹¹,-
EXO 1811+3143,00040643004,57039.51,273.39667,31.73822,18 13 35.2008,31 44 17.592,16.25 ± 0.06,17.26 ± 0.07,16.81 ± 0.11,16.25 ± 0.06,16.32 ± 0.05,16.13 ± 0.06,(0.48 ± 0.03) × 10⁻¹¹,(0.43 ± 0.03) × 10⁻¹¹,(0.45 ± 0.04) × 10⁻¹¹,(0.44 ± 0.02) × 10⁻¹¹,(0.44 ± 0.02) × 10⁻¹¹,(0.56 ± 0.03) × 10⁻¹¹
EXO 1811+3143,00013748001,59125.51,273.39667,31.73822,18 13 35.2008,31 44 17.592,-,-,-,-,14.95 ± 0.03,-,-,-,-,-,(1.57 ± 0.04) × 10⁻¹¹,-
EXO 1811+3143,00013748002,59128.62,273.39667,31.73822,18 13 35.2008,31 44 17.592,15.09 ± 0.03,-,-,-,-,-,(1.42 ± 0.04) × 10⁻¹¹,-,-,-,-,-
EXO 1811+3143,00013748003,59132.36,273.39667,31.73822,18 13 35.2008,31 44 17.592,14.94 ± 0.03,-,-,-,-,-,(1.61 ± 0.04) × 10⁻¹¹,-,-,-,-,-
EXO 1811+3143,00013748004,59134.87,273.39667,31.73822,18 13 35.2008,31 44 17.592,14.99 ± 0.04,15.88 ± 0.04,15.51 ± 0.05,14.77 ± 0.04,14.96 ± 0.05,14.7 ± 0.04,(1.55 ± 0.06) × 10⁻¹¹,(1.53 ± 0.06) × 10⁻¹¹,(1.47 ± 0.07) × 10⁻¹¹,(1.73 ± 0.06) × 10⁻¹¹,(1.56 ± 0.07) × 10⁻¹¹,(2.1 ± 0.07) × 10⁻¹¹
EXO 1811+3143,00013748005,59136.89,273.39667,31.73822,18 13 35.2008,31 44 17.592,14.84 ± 0.04,15.87 ± 0.04,15.42 ± 0.05,14.75 ± 0.04,14.85 ± 0.03,14.75 ± 0.04,(1.77 ± 0.06) × 10⁻¹¹,(1.53 ± 0.06) × 10⁻¹¹,(1.59 ± 0.08) × 10⁻¹¹,(1.76 ± 0.06) × 10⁻¹¹,(1.73 ± 0.05) × 10⁻¹¹,(1.99 ± 0.07) × 10⁻¹¹
EXO 1811+3143,00013748006,59138.89,273.39667,31.73822,18 13 35.2008,31 44 17.592,14.93 ± 0.04,15.9 ± 0.04,15.58 ± 0.06,14.88 ± 0.04,14.88 ± 0.03,14.81 ± 0.04,(1.63 ± 0.06) × 10⁻¹¹,(1.5 ± 0.05) × 10⁻¹¹,(1.38 ± 0.07) × 10⁻¹¹,(1.57 ± 0.05) × 10⁻¹¹,(1.67 ± 0.05) × 10⁻¹¹,(1.9 ± 0.07) × 10⁻¹¹
EXO 1811+3143,00013748007,59156.86,273.39667,31.73822,18 13 35.2008,31 44 17.592,15.11 ± 0.04,16.02 ± 0.04,15.7 ± 0.06,14.98 ± 0.04,15.04 ± 0.03,14.91 ± 0.03,(1.39 ± 0.05) × 10⁻¹¹,(1.34 ± 0.05) × 10⁻¹¹,(1.23 ± 0.07) × 10⁻¹¹,(1.43 ± 0.05) × 10⁻¹¹,(1.44 ± 0.04) × 10⁻¹¹,(1.73 ± 0.05) × 10⁻¹¹
EXO 1811+3143,00013748008,59157.85,273.39667,31.73822,18 13 35.2008,31 44 17.592,15.16 ± 0.04,16.14 ± 0.04,15.72 ± 0.06,15.07 ± 0.04,15.18 ± 0.03,15.07 ± 0.03,(1.32 ± 0.05) × 10⁻¹¹,(1.19 ± 0.05) × 10⁻¹¹,(1.21 ± 0.07) × 10⁻¹¹,(1.31 ± 0.05) × 10⁻¹¹,(1.27 ± 0.04) × 10⁻¹¹,(1.48 ± 0.04) × 10⁻¹¹
