Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
GB6 J0849+5108,00032084001,55803.64,132.49162,51.14139,8 49 57.9888,51 08 29.004,-,-,-,19.37 ± 0.14,-,-,-,-,-,(2.16 ± 0.28) × 10⁻¹³,-,-
GB6 J0849+5108,00032084002,55819.49,132.49162,51.14139,8 49 57.9888,51 08 29.004,19.38 ± 0.34,19.95 ± 0.44,18.49 ± 0.34,19.38 ± 0.25,19.23 ± 0.14,19.46 ± 0.26,(2.43 ± 0.76) × 10⁻¹³,(0.33 ± 0.13) × 10⁻¹²,(0.88 ± 0.28) × 10⁻¹²,(2.13 ± 0.49) × 10⁻¹³,(2.54 ± 0.33) × 10⁻¹³,(2.12 ± 0.51) × 10⁻¹³
GB6 J0849+5108,00048062001,55915.75,132.49162,51.14139,8 49 57.9888,51 08 29.004,19.71 ± 0.45,20.29 ± 0.55,19.64 ± 0.86,19.85 ± 0.18,19.74 ± 0.24,19.48 ± 0.35,(1.79 ± 0.74) × 10⁻¹³,(2.4 ± 1.22) × 10⁻¹³,(3.06 ± 2.41) × 10⁻¹³,(1.39 ± 0.24) × 10⁻¹³,(1.6 ± 0.35) × 10⁻¹³,(2.09 ± 0.68) × 10⁻¹³
GB6 J0849+5108,00048062002,55922.52,132.49162,51.14139,8 49 57.9888,51 08 29.004,19.99 ± 0.47,19.94 ± 0.33,-,19.89 ± 0.33,20.1 ± 0.29,19.62 ± 0.2,(1.38 ± 0.6) × 10⁻¹³,(0.33 ± 0.1) × 10⁻¹²,-,(1.34 ± 0.41) × 10⁻¹³,(1.14 ± 0.31) × 10⁻¹³,(1.84 ± 0.34) × 10⁻¹³
GB6 J0849+5108,00048062003,55923.44,132.49162,51.14139,8 49 57.9888,51 08 29.004,19.05 ± 0.28,20.55 ± 0.72,18.87 ± 0.4,19.88 ± 0.21,20.16 ± 0.32,19.79 ± 0.36,(0.33 ± 0.08) × 10⁻¹²,(1.89 ± 1.25) × 10⁻¹³,(0.62 ± 0.23) × 10⁻¹²,(1.35 ± 0.27) × 10⁻¹³,(1.08 ± 0.32) × 10⁻¹³,(1.57 ± 0.52) × 10⁻¹³
GB6 J0849+5108,00048062004,55929.2,132.49162,51.14139,8 49 57.9888,51 08 29.004,-,-,-,-,20.12 ± 0.31,-,-,-,-,-,(1.12 ± 0.32) × 10⁻¹³,-
GB6 J0849+5108,00032084003,56074.96,132.49162,51.14139,8 49 57.9888,51 08 29.004,16.84 ± 0.08,17.27 ± 0.07,16.6 ± 0.09,17.35 ± 0.1,17.56 ± 0.08,17.62 ± 0.22,(2.53 ± 0.18) × 10⁻¹²,(0.39 ± 0.03) × 10⁻¹¹,(0.5 ± 0.04) × 10⁻¹¹,(1.39 ± 0.12) × 10⁻¹²,(1.19 ± 0.08) × 10⁻¹²,(1.17 ± 0.24) × 10⁻¹²
GB6 J0849+5108,00032084004,56085.04,132.49162,51.14139,8 49 57.9888,51 08 29.004,17.67 ± 0.12,18.15 ± 0.12,17.42 ± 0.14,18.28 ± 0.14,18.72 ± 0.12,18.27 ± 0.14,(1.17 ± 0.13) × 10⁻¹²,(1.73 ± 0.19) × 10⁻¹²,(2.37 ± 0.3) × 10⁻¹²,(0.59 ± 0.08) × 10⁻¹²,(0.41 ± 0.04) × 10⁻¹²,(0.64 ± 0.08) × 10⁻¹²
GB6 J0849+5108,00091354001,56230.8,132.49162,51.14139,8 49 57.9888,51 08 29.004,19.92 ± 0.42,20.36 ± 0.46,18.8 ± 0.3,19.73 ± 0.28,19.69 ± 0.18,19.79 ± 0.18,(1.48 ± 0.57) × 10⁻¹³,(2.24 ± 0.94) × 10⁻¹³,(0.67 ± 0.18) × 10⁻¹²,(1.55 ± 0.4) × 10⁻¹³,(1.66 ± 0.28) × 10⁻¹³,(1.57 ± 0.25) × 10⁻¹³
GB6 J0849+5108,00091354002,56261.22,132.49162,51.14139,8 49 57.9888,51 08 29.004,22.15 ± 3.65,19.53 ± 0.29,19.0 ± 0.55,19.47 ± 0.28,19.84 ± 0.14,19.19 ± 0.23,(1.89 ± 6.36) × 10⁻¹⁴,(0.48 ± 0.13) × 10⁻¹²,(0.55 ± 0.28) × 10⁻¹²,(1.97 ± 0.5) × 10⁻¹³,(1.45 ± 0.19) × 10⁻¹³,(2.72 ± 0.58) × 10⁻¹³
