Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
H 1426+428,00035020001,53460.35,217.13608,42.67239,14 28 32.6592,42 40 20.604,16.84 ± 0.12,17.39 ± 0.12,16.38 ± 0.12,16.46 ± 0.1,16.42 ± 0.07,16.6 ± 0.12,(2.39 ± 0.26) × 10⁻¹²,(0.33 ± 0.04) × 10⁻¹¹,(0.59 ± 0.07) × 10⁻¹¹,(2.92 ± 0.27) × 10⁻¹²,(3.07 ± 0.21) × 10⁻¹²,(2.65 ± 0.28) × 10⁻¹²
H 1426+428,00035020003,53463.87,217.13608,42.67239,14 28 32.6592,42 40 20.604,16.75 ± 0.13,17.63 ± 0.12,16.71 ± 0.16,16.53 ± 0.11,16.41 ± 0.08,16.55 ± 0.12,(2.58 ± 0.3) × 10⁻¹²,(2.64 ± 0.29) × 10⁻¹²,(0.44 ± 0.06) × 10⁻¹¹,(2.74 ± 0.29) × 10⁻¹²,(3.08 ± 0.22) × 10⁻¹²,(2.79 ± 0.31) × 10⁻¹²
H 1426+428,00051000002,53540.58,217.13608,42.67239,14 28 32.6592,42 40 20.604,16.39 ± 0.04,17.17 ± 0.04,16.41 ± 0.05,16.22 ± 0.04,16.24 ± 0.03,16.13 ± 0.04,(0.36 ± 0.01) × 10⁻¹¹,(0.4 ± 0.02) × 10⁻¹¹,(0.58 ± 0.03) × 10⁻¹¹,(0.36 ± 0.01) × 10⁻¹¹,(0.36 ± 0.01) × 10⁻¹¹,(0.41 ± 0.02) × 10⁻¹¹
H 1426+428,00051000003,53546.56,217.13608,42.67239,14 28 32.6592,42 40 20.604,-,-,-,16.27 ± 0.04,16.26 ± 0.04,16.17 ± 0.05,-,-,-,(0.35 ± 0.01) × 10⁻¹¹,(0.35 ± 0.01) × 10⁻¹¹,(0.39 ± 0.02) × 10⁻¹¹
H 1426+428,00030375001,53801.45,217.13608,42.67239,14 28 32.6592,42 40 20.604,16.55 ± 0.09,17.18 ± 0.13,16.46 ± 0.1,16.3 ± 0.07,16.31 ± 0.05,16.29 ± 0.07,(3.11 ± 0.26) × 10⁻¹²,(0.4 ± 0.05) × 10⁻¹¹,(0.55 ± 0.05) × 10⁻¹¹,(0.34 ± 0.02) × 10⁻¹¹,(0.34 ± 0.02) × 10⁻¹¹,(0.35 ± 0.02) × 10⁻¹¹
H 1426+428,00030375002,53801.48,217.13608,42.67239,14 28 32.6592,42 40 20.604,16.56 ± 0.07,17.22 ± 0.09,16.42 ± 0.08,16.34 ± 0.06,16.25 ± 0.04,16.26 ± 0.06,(3.08 ± 0.21) × 10⁻¹²,(0.38 ± 0.03) × 10⁻¹¹,(0.57 ± 0.04) × 10⁻¹¹,(0.33 ± 0.02) × 10⁻¹¹,(0.36 ± 0.01) × 10⁻¹¹,(0.36 ± 0.02) × 10⁻¹¹
H 1426+428,00030375003,54179.8,217.13608,42.67239,14 28 32.6592,42 40 20.604,16.67 ± 0.08,17.33 ± 0.08,16.54 ± 0.1,16.52 ± 0.07,16.45 ± 0.05,16.47 ± 0.08,(2.79 ± 0.2) × 10⁻¹²,(0.35 ± 0.02) × 10⁻¹¹,(0.51 ± 0.05) × 10⁻¹¹,(2.75 ± 0.18) × 10⁻¹²,(2.97 ± 0.15) × 10⁻¹²,(3.0 ± 0.22) × 10⁻¹²
H 1426+428,00030375004,54181.3,217.13608,42.67239,14 28 32.6592,42 40 20.604,16.63 ± 0.09,17.36 ± 0.09,16.61 ± 0.11,16.58 ± 0.09,16.46 ± 0.06,16.37 ± 0.09,(2.87 ± 0.23) × 10⁻¹²,(0.34 ± 0.03) × 10⁻¹¹,(0.48 ± 0.05) × 10⁻¹¹,(2.61 ± 0.21) × 10⁻¹²,(2.96 ± 0.17) × 10⁻¹²,(0.33 ± 0.03) × 10⁻¹¹
H 1426+428,00030375005,54189.36,217.13608,42.67239,14 28 32.6592,42 40 20.604,16.66 ± 0.08,17.31 ± 0.08,16.84 ± 0.21,16.42 ± 0.07,16.29 ± 0.09,16.35 ± 0.18,(2.81 ± 0.2) × 10⁻¹²,(0.35 ± 0.03) × 10⁻¹¹,(0.39 ± 0.08) × 10⁻¹¹,(3.02 ± 0.2) × 10⁻¹²,(0.35 ± 0.03) × 10⁻¹¹,(0.33 ± 0.05) × 10⁻¹¹
H 1426+428,00030375007,54204.32,217.13608,42.67239,14 28 32.6592,42 40 20.604,16.57 ± 0.08,17.16 ± 0.08,16.5 ± 0.12,16.25 ± 0.07,16.23 ± 0.11,16.26 ± 0.09,(3.04 ± 0.23) × 10⁻¹²,(0.41 ± 0.03) × 10⁻¹¹,(0.53 ± 0.06) × 10⁻¹¹,(0.35 ± 0.02) × 10⁻¹¹,(0.36 ± 0.04) × 10⁻¹¹,(0.36 ± 0.03) × 10⁻¹¹
H 1426+428,00030375008,54211.32,217.13608,42.67239,14 28 32.6592,42 40 20.604,16.42 ± 0.06,17.15 ± 0.06,16.54 ± 0.08,16.2 ± 0.06,16.12 ± 0.04,16.15 ± 0.06,(0.35 ± 0.02) × 10⁻¹¹,(0.41 ± 0.02) × 10⁻¹¹,(0.51 ± 0.04) × 10⁻¹¹,(0.37 ± 0.02) × 10⁻¹¹,(0.4 ± 0.02) × 10⁻¹¹,(0.4 ± 0.02) × 10⁻¹¹
H 1426+428,00030375009,54218.16,217.13608,42.67239,14 28 32.6592,42 40 20.604,16.51 ± 0.06,17.1 ± 0.06,16.49 ± 0.07,16.33 ± 0.06,16.25 ± 0.04,16.11 ± 0.06,(0.32 ± 0.02) × 10⁻¹¹,(0.43 ± 0.02) × 10⁻¹¹,(0.54 ± 0.04) × 10⁻¹¹,(0.33 ± 0.02) × 10⁻¹¹,(0.36 ± 0.01) × 10⁻¹¹,(0.42 ± 0.02) × 10⁻¹¹
H 1426+428,00030375010,54224.35,217.13608,42.67239,14 28 32.6592,42 40 20.604,16.47 ± 0.06,17.16 ± 0.06,16.38 ± 0.07,16.19 ± 0.05,16.28 ± 0.04,16.14 ± 0.06,(0.33 ± 0.02) × 10⁻¹¹,(0.41 ± 0.02) × 10⁻¹¹,(0.6 ± 0.04) × 10⁻¹¹,(0.37 ± 0.02) × 10⁻¹¹,(0.35 ± 0.01) × 10⁻¹¹,(0.4 ± 0.02) × 10⁻¹¹
H 1426+428,00030375011,54232.21,217.13608,42.67239,14 28 32.6592,42 40 20.604,16.46 ± 0.06,17.22 ± 0.06,16.48 ± 0.07,16.32 ± 0.06,16.31 ± 0.04,16.26 ± 0.06,(0.34 ± 0.02) × 10⁻¹¹,(0.39 ± 0.02) × 10⁻¹¹,(0.54 ± 0.04) × 10⁻¹¹,(0.33 ± 0.02) × 10⁻¹¹,(0.34 ± 0.01) × 10⁻¹¹,(0.36 ± 0.02) × 10⁻¹¹
H 1426+428,00030375012,54238.3,217.13608,42.67239,14 28 32.6592,42 40 20.604,16.55 ± 0.08,17.21 ± 0.08,16.56 ± 0.1,16.32 ± 0.07,16.2 ± 0.05,16.16 ± 0.08,(3.1 ± 0.23) × 10⁻¹²,(0.39 ± 0.03) × 10⁻¹¹,(0.51 ± 0.05) × 10⁻¹¹,(0.33 ± 0.02) × 10⁻¹¹,(0.37 ± 0.02) × 10⁻¹¹,(0.4 ± 0.03) × 10⁻¹¹
H 1426+428,00030375013,54246.23,217.13608,42.67239,14 28 32.6592,42 40 20.604,16.55 ± 0.09,17.19 ± 0.09,16.62 ± 0.12,16.41 ± 0.08,16.31 ± 0.06,16.24 ± 0.09,(3.11 ± 0.25) × 10⁻¹²,(0.4 ± 0.03) × 10⁻¹¹,(0.48 ± 0.05) × 10⁻¹¹,(3.06 ± 0.23) × 10⁻¹²,(0.34 ± 0.02) × 10⁻¹¹,(0.37 ± 0.03) × 10⁻¹¹
H 1426+428,00030375014,54267.95,217.13608,42.67239,14 28 32.6592,42 40 20.604,16.45 ± 0.07,17.16 ± 0.07,16.5 ± 0.09,16.35 ± 0.06,16.27 ± 0.09,16.14 ± 0.07,(0.34 ± 0.02) × 10⁻¹¹,(0.41 ± 0.02) × 10⁻¹¹,(0.53 ± 0.04) × 10⁻¹¹,(0.32 ± 0.02) × 10⁻¹¹,(0.35 ± 0.03) × 10⁻¹¹,(0.41 ± 0.02) × 10⁻¹¹
