Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
IZW 187,00040635002,55288.76,262.0776,50.21957,17 28 18.624,50 13 10.452,15.69 ± 0.03,-,-,-,-,-,(0.74 ± 0.02) × 10⁻¹¹,-,-,-,-,-
IZW 187,00040635003,55291.77,262.0776,50.21957,17 28 18.624,50 13 10.452,-,-,-,15.66 ± 0.03,-,-,-,-,-,(0.67 ± 0.02) × 10⁻¹¹,-,-
IZW 187,00040635001,55291.97,262.0776,50.21957,17 28 18.624,50 13 10.452,15.73 ± 0.04,16.38 ± 0.04,15.92 ± 0.05,15.71 ± 0.04,15.7 ± 0.03,15.72 ± 0.04,(0.72 ± 0.03) × 10⁻¹¹,(0.89 ± 0.03) × 10⁻¹¹,(0.95 ± 0.05) × 10⁻¹¹,(0.64 ± 0.02) × 10⁻¹¹,(0.68 ± 0.02) × 10⁻¹¹,(0.69 ± 0.03) × 10⁻¹¹
IZW 187,00040635004,55317.58,262.0776,50.21957,17 28 18.624,50 13 10.452,-,-,-,-,15.62 ± 0.03,-,-,-,-,-,(0.73 ± 0.02) × 10⁻¹¹,-
IZW 187,00040635005,56419.39,262.0776,50.21957,17 28 18.624,50 13 10.452,15.4 ± 0.04,16.15 ± 0.03,15.68 ± 0.05,15.36 ± 0.03,15.37 ± 0.03,15.28 ± 0.04,(0.97 ± 0.03) × 10⁻¹¹,(1.1 ± 0.03) × 10⁻¹¹,(1.18 ± 0.05) × 10⁻¹¹,(0.89 ± 0.03) × 10⁻¹¹,(0.92 ± 0.02) × 10⁻¹¹,(1.03 ± 0.04) × 10⁻¹¹
IZW 187,00040635006,56420.36,262.0776,50.21957,17 28 18.624,50 13 10.452,15.39 ± 0.04,16.17 ± 0.04,15.62 ± 0.05,15.35 ± 0.04,15.36 ± 0.03,15.33 ± 0.05,(0.97 ± 0.04) × 10⁻¹¹,(1.08 ± 0.04) × 10⁻¹¹,(1.25 ± 0.06) × 10⁻¹¹,(0.89 ± 0.03) × 10⁻¹¹,(0.93 ± 0.03) × 10⁻¹¹,(0.99 ± 0.04) × 10⁻¹¹
IZW 187,00040635007,57101.29,262.0776,50.21957,17 28 18.624,50 13 10.452,-,-,-,-,15.42 ± 0.03,-,-,-,-,-,(0.87 ± 0.02) × 10⁻¹¹,-
IZW 187,00040635008,57106.22,262.0776,50.21957,17 28 18.624,50 13 10.452,-,-,-,-,-,15.46 ± 0.03,-,-,-,-,-,(0.88 ± 0.02) × 10⁻¹¹
IZW 187,00040635009,57107.22,262.0776,50.21957,17 28 18.624,50 13 10.452,-,-,-,15.51 ± 0.02,-,-,-,-,-,(0.77 ± 0.02) × 10⁻¹¹,-,-
IZW 187,00040635010,57109.21,262.0776,50.21957,17 28 18.624,50 13 10.452,-,-,-,-,15.42 ± 0.03,-,-,-,-,-,(0.88 ± 0.02) × 10⁻¹¹,-
IZW 187,00040635011,57110.16,262.0776,50.21957,17 28 18.624,50 13 10.452,-,-,-,-,-,15.27 ± 0.03,-,-,-,-,-,(1.05 ± 0.03) × 10⁻¹¹
IZW 187,00040635012,57112.21,262.0776,50.21957,17 28 18.624,50 13 10.452,15.41 ± 0.03,-,-,-,-,-,(0.96 ± 0.03) × 10⁻¹¹,-,-,-,-,-
IZW 187,00040635013,57114.98,262.0776,50.21957,17 28 18.624,50 13 10.452,15.39 ± 0.04,16.21 ± 0.04,15.8 ± 0.07,15.38 ± 0.05,15.34 ± 0.04,15.3 ± 0.05,(0.98 ± 0.04) × 10⁻¹¹,(1.04 ± 0.04) × 10⁻¹¹,(1.06 ± 0.07) × 10⁻¹¹,(0.87 ± 0.04) × 10⁻¹¹,(0.94 ± 0.03) × 10⁻¹¹,(1.01 ± 0.04) × 10⁻¹¹
IZW 187,00040635014,57116.99,262.0776,50.21957,17 28 18.624,50 13 10.452,-,-,-,15.36 ± 0.08,-,-,-,-,-,(0.89 ± 0.06) × 10⁻¹¹,-,-
IZW 187,00040635015,57118.51,262.0776,50.21957,17 28 18.624,50 13 10.452,15.46 ± 0.04,16.17 ± 0.04,15.76 ± 0.06,15.44 ± 0.04,15.4 ± 0.04,15.29 ± 0.04,(0.92 ± 0.04) × 10⁻¹¹,(1.08 ± 0.04) × 10⁻¹¹,(1.11 ± 0.06) × 10⁻¹¹,(0.82 ± 0.03) × 10⁻¹¹,(0.89 ± 0.03) × 10⁻¹¹,(1.03 ± 0.04) × 10⁻¹¹
IZW 187,00040635016,57120.78,262.0776,50.21957,17 28 18.624,50 13 10.452,15.46 ± 0.05,16.15 ± 0.05,15.68 ± 0.07,15.33 ± 0.05,15.3 ± 0.04,15.3 ± 0.05,(0.91 ± 0.04) × 10⁻¹¹,(1.1 ± 0.05) × 10⁻¹¹,(1.19 ± 0.08) × 10⁻¹¹,(0.92 ± 0.04) × 10⁻¹¹,(0.98 ± 0.04) × 10⁻¹¹,(1.02 ± 0.05) × 10⁻¹¹
IZW 187,00040635017,57127.12,262.0776,50.21957,17 28 18.624,50 13 10.452,-,-,-,15.32 ± 0.02,-,-,-,-,-,(0.92 ± 0.02) × 10⁻¹¹,-,-
IZW 187,00040635018,57128.35,262.0776,50.21957,17 28 18.624,50 13 10.452,15.46 ± 0.03,-,-,-,-,-,(0.91 ± 0.02) × 10⁻¹¹,-,-,-,-,-
IZW 187,00040635019,57134.04,262.0776,50.21957,17 28 18.624,50 13 10.452,-,-,-,-,-,15.36 ± 0.03,-,-,-,-,-,(0.96 ± 0.02) × 10⁻¹¹
IZW 187,00040635020,57135.04,262.0776,50.21957,17 28 18.624,50 13 10.452,-,-,-,15.38 ± 0.03,-,-,-,-,-,(0.87 ± 0.02) × 10⁻¹¹,-,-
IZW 187,00040635021,57136.11,262.0776,50.21957,17 28 18.624,50 13 10.452,15.42 ± 0.02,-,-,-,-,-,(0.95 ± 0.02) × 10⁻¹¹,-,-,-,-,-
IZW 187,00040635022,57137.16,262.0776,50.21957,17 28 18.624,50 13 10.452,-,-,-,-,15.29 ± 0.02,-,-,-,-,-,(0.98 ± 0.02) × 10⁻¹¹,-
IZW 187,00040635023,57138.1,262.0776,50.21957,17 28 18.624,50 13 10.452,-,-,-,-,-,15.25 ± 0.03,-,-,-,-,-,(1.07 ± 0.03) × 10⁻¹¹
IZW 187,00040635025,57154.09,262.0776,50.21957,17 28 18.624,50 13 10.452,15.63 ± 0.04,-,-,15.54 ± 0.04,15.53 ± 0.03,15.48 ± 0.04,(0.78 ± 0.03) × 10⁻¹¹,-,-,(0.75 ± 0.03) × 10⁻¹¹,(0.79 ± 0.02) × 10⁻¹¹,(0.86 ± 0.03) × 10⁻¹¹
IZW 187,00040635026,57155.05,262.0776,50.21957,17 28 18.624,50 13 10.452,15.64 ± 0.04,-,-,15.53 ± 0.03,15.54 ± 0.03,15.54 ± 0.04,(0.77 ± 0.03) × 10⁻¹¹,-,-,(0.76 ± 0.02) × 10⁻¹¹,(0.78 ± 0.02) × 10⁻¹¹,(0.81 ± 0.03) × 10⁻¹¹
IZW 187,00040635027,57156.06,262.0776,50.21957,17 28 18.624,50 13 10.452,15.61 ± 0.04,-,-,15.58 ± 0.04,15.51 ± 0.03,15.46 ± 0.04,(0.79 ± 0.03) × 10⁻¹¹,-,-,(0.72 ± 0.03) × 10⁻¹¹,(0.8 ± 0.02) × 10⁻¹¹,(0.88 ± 0.03) × 10⁻¹¹
