Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
MRK 501,00035023001,53481.08,253.46757,39.76017,16 53 52.2168,39 45 36.612,13.79 ± 0.04,15.65 ± 0.12,13.72 ± 0.04,13.65 ± 0.04,13.73 ± 0.03,13.63 ± 0.04,(0.41 ± 0.02) × 10⁻¹⁰,(1.68 ± 0.19) × 10⁻¹¹,(0.7 ± 0.03) × 10⁻¹⁰,(0.4 ± 0.01) × 10⁻¹⁰,(0.38 ± 0.01) × 10⁻¹⁰,(0.43 ± 0.01) × 10⁻¹⁰
MRK 501,00035023002,53539.5,253.46757,39.76017,16 53 52.2168,39 45 36.612,13.85 ± 0.03,14.48 ± 0.04,13.77 ± 0.04,13.77 ± 0.03,13.84 ± 0.03,13.75 ± 0.03,(0.39 ± 0.01) × 10⁻¹⁰,(0.49 ± 0.02) × 10⁻¹⁰,(0.67 ± 0.02) × 10⁻¹⁰,(0.36 ± 0.01) × 10⁻¹⁰,(0.35 ± 0.01) × 10⁻¹⁰,(0.39 ± 0.01) × 10⁻¹⁰
MRK 501,00030793001,53934.98,253.46757,39.76017,16 53 52.2168,39 45 36.612,13.99 ± 0.03,-,-,13.94 ± 0.03,13.99 ± 0.02,13.91 ± 0.03,(0.34 ± 0.01) × 10⁻¹⁰,-,-,(3.09 ± 0.07) × 10⁻¹¹,(3.01 ± 0.07) × 10⁻¹¹,(0.34 ± 0.01) × 10⁻¹⁰
MRK 501,00030793002,53935.94,253.46757,39.76017,16 53 52.2168,39 45 36.612,13.97 ± 0.03,-,-,13.9 ± 0.03,13.89 ± 0.02,13.82 ± 0.03,(0.35 ± 0.01) × 10⁻¹⁰,-,-,(0.32 ± 0.01) × 10⁻¹⁰,(0.33 ± 0.01) × 10⁻¹⁰,(0.36 ± 0.01) × 10⁻¹⁰
MRK 501,00030793003,53936.04,253.46757,39.76017,16 53 52.2168,39 45 36.612,13.97 ± 0.03,-,-,13.91 ± 0.03,13.91 ± 0.03,13.83 ± 0.03,(0.35 ± 0.01) × 10⁻¹⁰,-,-,(0.32 ± 0.01) × 10⁻¹⁰,(0.32 ± 0.01) × 10⁻¹⁰,(0.36 ± 0.01) × 10⁻¹⁰
MRK 501,00030793004,53936.84,253.46757,39.76017,16 53 52.2168,39 45 36.612,13.94 ± 0.03,-,-,13.87 ± 0.03,13.93 ± 0.02,13.82 ± 0.03,(0.35 ± 0.01) × 10⁻¹⁰,-,-,(0.33 ± 0.01) × 10⁻¹⁰,(0.32 ± 0.01) × 10⁻¹⁰,(0.36 ± 0.01) × 10⁻¹⁰
MRK 501,00030793006,54182.4,253.46757,39.76017,16 53 52.2168,39 45 36.612,14.08 ± 0.03,14.62 ± 0.03,13.9 ± 0.03,13.99 ± 0.03,14.08 ± 0.03,14.01 ± 0.03,(3.1 ± 0.09) × 10⁻¹¹,(0.43 ± 0.01) × 10⁻¹⁰,(0.59 ± 0.02) × 10⁻¹⁰,(2.94 ± 0.08) × 10⁻¹¹,(2.77 ± 0.06) × 10⁻¹¹,(3.06 ± 0.09) × 10⁻¹¹
MRK 501,00030793007,54189.85,253.46757,39.76017,16 53 52.2168,39 45 36.612,14.08 ± 0.03,14.61 ± 0.03,13.9 ± 0.03,13.94 ± 0.09,14.09 ± 0.03,14.0 ± 0.03,(3.1 ± 0.08) × 10⁻¹¹,(0.44 ± 0.01) × 10⁻¹⁰,(0.59 ± 0.02) × 10⁻¹⁰,(3.09 ± 0.26) × 10⁻¹¹,(2.76 ± 0.07) × 10⁻¹¹,(3.07 ± 0.08) × 10⁻¹¹
MRK 501,00030793008,54197.25,253.46757,39.76017,16 53 52.2168,39 45 36.612,14.14 ± 0.03,14.61 ± 0.03,13.92 ± 0.03,14.12 ± 0.03,14.13 ± 0.03,13.95 ± 0.08,(2.94 ± 0.08) × 10⁻¹¹,(0.44 ± 0.01) × 10⁻¹⁰,(0.58 ± 0.02) × 10⁻¹⁰,(2.62 ± 0.07) × 10⁻¹¹,(2.66 ± 0.06) × 10⁻¹¹,(0.32 ± 0.02) × 10⁻¹⁰
MRK 501,00030793009,54204.2,253.46757,39.76017,16 53 52.2168,39 45 36.612,14.1 ± 0.03,14.68 ± 0.03,13.9 ± 0.04,14.11 ± 0.03,14.17 ± 0.03,14.02 ± 0.04,(3.04 ± 0.08) × 10⁻¹¹,(0.41 ± 0.01) × 10⁻¹⁰,(0.59 ± 0.02) × 10⁻¹⁰,(2.63 ± 0.06) × 10⁻¹¹,(2.56 ± 0.07) × 10⁻¹¹,(3.02 ± 0.11) × 10⁻¹¹
