Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
MS 1207.9+3945,00035463001,53730.72,182.61084,39.48562,12 10 26.6016,39 29 08.232,21.61 ± 3.51,19.0 ± 0.6,-,18.64 ± 0.28,18.99 ± 0.22,18.75 ± 0.29,(3.16 ± 10.22) × 10⁻¹⁴,(0.8 ± 0.44) × 10⁻¹²,-,(0.43 ± 0.11) × 10⁻¹²,(0.32 ± 0.07) × 10⁻¹²,(0.42 ± 0.11) × 10⁻¹²
MS 1207.9+3945,00037258001,54522.81,182.61084,39.48562,12 10 26.6016,39 29 08.232,-,-,-,-,-,19.43 ± 0.25,-,-,-,-,-,(2.26 ± 0.51) × 10⁻¹³
MS 1207.9+3945,00037258002,54752.83,182.61084,39.48562,12 10 26.6016,39 29 08.232,19.38 ± 0.13,-,-,-,-,-,(2.46 ± 0.3) × 10⁻¹³,-,-,-,-,-
MS 1207.9+3945,00037258003,54759.06,182.61084,39.48562,12 10 26.6016,39 29 08.232,-,-,-,19.2 ± 0.22,-,19.15 ± 0.13,-,-,-,(2.58 ± 0.53) × 10⁻¹³,-,(2.9 ± 0.34) × 10⁻¹³
MS 1207.9+3945,00037258004,57336.46,182.61084,39.48562,12 10 26.6016,39 29 08.232,-,-,-,-,-,18.98 ± 0.18,-,-,-,-,-,(0.34 ± 0.06) × 10⁻¹²
MS 1207.9+3945,00037258005,57337.29,182.61084,39.48562,12 10 26.6016,39 29 08.232,-,-,-,-,-,19.25 ± 0.18,-,-,-,-,-,(2.65 ± 0.44) × 10⁻¹³
MS 1207.9+3945,00037258006,57338.44,182.61084,39.48562,12 10 26.6016,39 29 08.232,-,-,-,-,-,19.21 ± 0.13,-,-,-,-,-,(2.76 ± 0.33) × 10⁻¹³
MS 1207.9+3945,00037258008,57340.47,182.61084,39.48562,12 10 26.6016,39 29 08.232,-,-,-,-,-,19.03 ± 0.13,-,-,-,-,-,(0.32 ± 0.04) × 10⁻¹²
MS 1207.9+3945,00037258009,57341.87,182.61084,39.48562,12 10 26.6016,39 29 08.232,-,-,-,-,-,19.32 ± 0.15,-,-,-,-,-,(2.49 ± 0.34) × 10⁻¹³
MS 1207.9+3945,00037258010,57342.77,182.61084,39.48562,12 10 26.6016,39 29 08.232,-,-,-,-,-,19.48 ± 0.17,-,-,-,-,-,(2.16 ± 0.35) × 10⁻¹³
