Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
ON 231,00035018001,53565.79,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.84 ± 0.04,15.69 ± 0.04,15.3 ± 0.05,14.91 ± 0.04,14.98 ± 0.03,14.92 ± 0.04,(1.57 ± 0.06) × 10⁻¹¹,(1.64 ± 0.07) × 10⁻¹¹,(1.65 ± 0.08) × 10⁻¹¹,(1.29 ± 0.04) × 10⁻¹¹,(1.25 ± 0.04) × 10⁻¹¹,(1.36 ± 0.05) × 10⁻¹¹
ON 231,00035018002,53672.88,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.14 ± 0.03,15.05 ± 0.03,14.58 ± 0.03,14.11 ± 0.03,14.24 ± 0.02,14.09 ± 0.03,(3.01 ± 0.08) × 10⁻¹¹,(2.97 ± 0.09) × 10⁻¹¹,(0.32 ± 0.01) × 10⁻¹⁰,(2.71 ± 0.06) × 10⁻¹¹,(2.47 ± 0.05) × 10⁻¹¹,(2.94 ± 0.07) × 10⁻¹¹
ON 231,00035018003,53720.52,185.38204,28.23292,12 21 31.6896,28 13 58.512,13.89 ± 0.03,14.76 ± 0.03,14.37 ± 0.04,13.79 ± 0.03,13.93 ± 0.03,13.77 ± 0.03,(0.38 ± 0.01) × 10⁻¹⁰,(0.39 ± 0.01) × 10⁻¹⁰,(0.39 ± 0.01) × 10⁻¹⁰,(0.36 ± 0.01) × 10⁻¹⁰,(0.33 ± 0.01) × 10⁻¹⁰,(0.39 ± 0.01) × 10⁻¹⁰
ON 231,00030929001,54223.87,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.27 ± 0.03,15.16 ± 0.03,14.78 ± 0.04,14.24 ± 0.03,14.36 ± 0.03,14.23 ± 0.03,(2.65 ± 0.08) × 10⁻¹¹,(2.67 ± 0.08) × 10⁻¹¹,(2.68 ± 0.1) × 10⁻¹¹,(2.41 ± 0.07) × 10⁻¹¹,(2.2 ± 0.06) × 10⁻¹¹,(2.59 ± 0.08) × 10⁻¹¹
ON 231,00030929002,54225.44,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.25 ± 0.03,15.07 ± 0.03,14.65 ± 0.03,14.18 ± 0.03,14.31 ± 0.02,14.18 ± 0.03,(2.71 ± 0.07) × 10⁻¹¹,(2.91 ± 0.07) × 10⁻¹¹,(3.01 ± 0.09) × 10⁻¹¹,(2.53 ± 0.06) × 10⁻¹¹,(2.31 ± 0.05) × 10⁻¹¹,(2.69 ± 0.07) × 10⁻¹¹
ON 231,00030929003,54227.13,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.11 ± 0.03,14.9 ± 0.03,14.51 ± 0.04,13.97 ± 0.03,14.1 ± 0.03,13.92 ± 0.03,(3.09 ± 0.09) × 10⁻¹¹,(0.34 ± 0.01) × 10⁻¹⁰,(0.34 ± 0.01) × 10⁻¹⁰,(3.07 ± 0.09) × 10⁻¹¹,(2.81 ± 0.07) × 10⁻¹¹,(0.34 ± 0.01) × 10⁻¹⁰
ON 231,00035018004,54495.29,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.09 ± 0.03,14.97 ± 0.03,14.55 ± 0.04,14.11 ± 0.03,14.29 ± 0.03,14.16 ± 0.03,(3.14 ± 0.09) × 10⁻¹¹,(0.32 ± 0.01) × 10⁻¹⁰,(0.33 ± 0.01) × 10⁻¹⁰,(2.7 ± 0.07) × 10⁻¹¹,(2.37 ± 0.06) × 10⁻¹¹,(2.75 ± 0.08) × 10⁻¹¹
ON 231,00035018005,54499.12,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.14 ± 0.04,14.99 ± 0.04,14.58 ± 0.05,14.18 ± 0.04,14.25 ± 0.03,14.09 ± 0.04,(3.01 ± 0.1) × 10⁻¹¹,(3.12 ± 0.1) × 10⁻¹¹,(0.32 ± 0.01) × 10⁻¹⁰,(2.54 ± 0.08) × 10⁻¹¹,(2.45 ± 0.07) × 10⁻¹¹,(2.92 ± 0.1) × 10⁻¹¹
ON 231,00035018006,54528.29,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.2 ± 0.03,15.03 ± 0.03,14.61 ± 0.04,14.16 ± 0.03,14.3 ± 0.03,14.19 ± 0.03,(2.83 ± 0.08) × 10⁻¹¹,(3.0 ± 0.08) × 10⁻¹¹,(3.12 ± 0.11) × 10⁻¹¹,(2.59 ± 0.07) × 10⁻¹¹,(2.34 ± 0.06) × 10⁻¹¹,(2.69 ± 0.08) × 10⁻¹¹
ON 231,00035018007,54536.63,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.57 ± 0.04,15.37 ± 0.04,14.96 ± 0.05,14.57 ± 0.04,14.64 ± 0.03,14.51 ± 0.04,(2.02 ± 0.07) × 10⁻¹¹,(2.21 ± 0.07) × 10⁻¹¹,(2.25 ± 0.1) × 10⁻¹¹,(1.77 ± 0.06) × 10⁻¹¹,(1.71 ± 0.05) × 10⁻¹¹,(1.99 ± 0.07) × 10⁻¹¹
ON 231,00031160001,54539.35,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.38 ± 0.04,15.26 ± 0.04,14.84 ± 0.05,14.34 ± 0.03,14.46 ± 0.03,14.34 ± 0.04,(2.41 ± 0.08) × 10⁻¹¹,(2.45 ± 0.08) × 10⁻¹¹,(2.52 ± 0.11) × 10⁻¹¹,(2.18 ± 0.07) × 10⁻¹¹,(2.02 ± 0.06) × 10⁻¹¹,(2.33 ± 0.08) × 10⁻¹¹
ON 231,00031160003,54541.48,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.27 ± 0.03,15.16 ± 0.03,14.75 ± 0.04,14.23 ± 0.03,14.39 ± 0.03,14.26 ± 0.03,(2.67 ± 0.08) × 10⁻¹¹,(2.67 ± 0.07) × 10⁻¹¹,(2.74 ± 0.1) × 10⁻¹¹,(2.41 ± 0.06) × 10⁻¹¹,(2.15 ± 0.05) × 10⁻¹¹,(2.51 ± 0.07) × 10⁻¹¹
ON 231,00031160004,54553.29,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.17 ± 0.03,15.0 ± 0.03,14.59 ± 0.03,14.08 ± 0.03,14.2 ± 0.02,14.06 ± 0.03,(2.93 ± 0.08) × 10⁻¹¹,(3.1 ± 0.07) × 10⁻¹¹,(0.32 ± 0.01) × 10⁻¹⁰,(2.78 ± 0.07) × 10⁻¹¹,(2.57 ± 0.06) × 10⁻¹¹,(3.0 ± 0.08) × 10⁻¹¹
ON 231,00031160005,54554.29,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.14 ± 0.03,14.98 ± 0.03,14.57 ± 0.03,14.11 ± 0.03,14.29 ± 0.02,14.15 ± 0.03,(2.99 ± 0.08) × 10⁻¹¹,(3.15 ± 0.08) × 10⁻¹¹,(0.32 ± 0.01) × 10⁻¹⁰,(2.7 ± 0.06) × 10⁻¹¹,(2.37 ± 0.05) × 10⁻¹¹,(2.77 ± 0.07) × 10⁻¹¹
ON 231,00035018009,54589.2,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.18 ± 0.03,15.0 ± 0.03,14.53 ± 0.04,14.11 ± 0.03,14.19 ± 0.03,14.05 ± 0.03,(2.9 ± 0.09) × 10⁻¹¹,(3.1 ± 0.09) × 10⁻¹¹,(0.34 ± 0.01) × 10⁻¹⁰,(2.71 ± 0.07) × 10⁻¹¹,(2.59 ± 0.06) × 10⁻¹¹,(3.05 ± 0.1) × 10⁻¹¹
ON 231,00031219001,54625.1,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.2 ± 0.06,15.21 ± 0.06,14.53 ± 0.08,14.26 ± 0.06,14.31 ± 0.05,14.22 ± 0.07,(2.83 ± 0.15) × 10⁻¹¹,(2.55 ± 0.15) × 10⁻¹¹,(0.34 ± 0.02) × 10⁻¹⁰,(2.36 ± 0.13) × 10⁻¹¹,(2.32 ± 0.1) × 10⁻¹¹,(2.6 ± 0.18) × 10⁻¹¹
ON 231,00031219002,54626.16,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.29 ± 0.03,15.16 ± 0.02,14.75 ± 0.03,14.25 ± 0.02,14.37 ± 0.02,14.23 ± 0.03,(2.61 ± 0.06) × 10⁻¹¹,(2.69 ± 0.06) × 10⁻¹¹,(2.74 ± 0.08) × 10⁻¹¹,(2.38 ± 0.05) × 10⁻¹¹,(2.19 ± 0.05) × 10⁻¹¹,(2.57 ± 0.06) × 10⁻¹¹
ON 231,00035018010,54828.5,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.61 ± 0.03,15.38 ± 0.03,14.95 ± 0.06,14.52 ± 0.03,14.71 ± 0.03,14.88 ± 0.08,(1.94 ± 0.06) × 10⁻¹¹,(2.19 ± 0.07) × 10⁻¹¹,(2.28 ± 0.13) × 10⁻¹¹,(1.85 ± 0.06) × 10⁻¹¹,(1.6 ± 0.04) × 10⁻¹¹,(1.42 ± 0.11) × 10⁻¹¹
ON 231,00035018011,54835.49,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.53 ± 0.03,15.43 ± 0.03,15.07 ± 0.04,14.48 ± 0.03,14.66 ± 0.03,14.59 ± 0.03,(2.09 ± 0.06) × 10⁻¹¹,(2.09 ± 0.06) × 10⁻¹¹,(2.05 ± 0.08) × 10⁻¹¹,(1.92 ± 0.05) × 10⁻¹¹,(1.68 ± 0.04) × 10⁻¹¹,(1.86 ± 0.06) × 10⁻¹¹
ON 231,00035018012,54842.53,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.37 ± 0.03,15.2 ± 0.03,14.73 ± 0.04,14.31 ± 0.03,14.56 ± 0.03,14.36 ± 0.03,(2.43 ± 0.07) × 10⁻¹¹,(2.58 ± 0.07) × 10⁻¹¹,(2.79 ± 0.1) × 10⁻¹¹,(2.25 ± 0.06) × 10⁻¹¹,(1.83 ± 0.05) × 10⁻¹¹,(2.29 ± 0.07) × 10⁻¹¹
ON 231,00035018013,54849.49,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.09 ± 0.03,15.03 ± 0.03,14.7 ± 0.04,14.04 ± 0.03,14.13 ± 0.03,13.96 ± 0.03,(3.14 ± 0.09) × 10⁻¹¹,(3.01 ± 0.08) × 10⁻¹¹,(2.87 ± 0.1) × 10⁻¹¹,(2.88 ± 0.08) × 10⁻¹¹,(2.74 ± 0.07) × 10⁻¹¹,(0.33 ± 0.01) × 10⁻¹⁰
ON 231,00035018014,54856.52,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.17 ± 0.03,15.0 ± 0.03,14.61 ± 0.05,14.16 ± 0.03,14.24 ± 0.03,-,(2.92 ± 0.09) × 10⁻¹¹,(3.11 ± 0.09) × 10⁻¹¹,(3.12 ± 0.13) × 10⁻¹¹,(2.59 ± 0.07) × 10⁻¹¹,(2.47 ± 0.06) × 10⁻¹¹,-
ON 231,00035018015,54863.48,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.23 ± 0.03,15.08 ± 0.03,14.64 ± 0.04,14.19 ± 0.03,14.33 ± 0.03,14.18 ± 0.03,(2.77 ± 0.08) × 10⁻¹¹,(2.88 ± 0.08) × 10⁻¹¹,(3.04 ± 0.1) × 10⁻¹¹,(2.51 ± 0.07) × 10⁻¹¹,(2.29 ± 0.05) × 10⁻¹¹,(2.7 ± 0.08) × 10⁻¹¹
ON 231,00035018016,54870.36,185.38204,28.23292,12 21 31.6896,28 13 58.512,14.0 ± 0.03,14.86 ± 0.03,14.47 ± 0.03,13.99 ± 0.03,14.13 ± 0.02,14.02 ± 0.03,(0.34 ± 0.01) × 10⁻¹⁰,(0.35 ± 0.01) × 10⁻¹⁰,(0.35 ± 0.01) × 10⁻¹⁰,(3.01 ± 0.07) × 10⁻¹¹,(2.73 ± 0.06) × 10⁻¹¹,(3.12 ± 0.08) × 10⁻¹¹
ON 231,00035018017,54877.32,185.38204,28.23292,12 21 31.6896,28 13 58.512,13.97 ± 0.03,14.81 ± 0.03,14.42 ± 0.04,13.87 ± 0.03,14.02 ± 0.03,13.91 ± 0.03,(0.35 ± 0.01) × 10⁻¹⁰,(0.37 ± 0.01) × 10⁻¹⁰,(0.37 ± 0.01) × 10⁻¹⁰,(0.34 ± 0.01) × 10⁻¹⁰,(3.02 ± 0.07) × 10⁻¹¹,(0.35 ± 0.01) × 10⁻¹⁰
ON 231,00035018018,54884.42,185.38204,28.23292,12 21 31.6896,28 13 58.512,13.97 ± 0.03,14.87 ± 0.03,14.46 ± 0.03,13.87 ± 0.03,13.99 ± 0.02,13.86 ± 0.03,(0.35 ± 0.01) × 10⁻¹⁰,(0.35 ± 0.01) × 10⁻¹⁰,(0.36 ± 0.01) × 10⁻¹⁰,(0.34 ± 0.01) × 10⁻¹⁰,(3.12 ± 0.07) × 10⁻¹¹,(0.36 ± 0.01) × 10⁻¹⁰
ON 231,00035018019,54891.31,185.38204,28.23292,12 21 31.6896,28 13 58.512,13.92 ± 0.04,14.72 ± 0.04,14.27 ± 0.05,13.84 ± 0.04,13.99 ± 0.03,13.79 ± 0.04,(0.37 ± 0.01) × 10⁻¹⁰,(0.4 ± 0.01) × 10⁻¹⁰,(0.43 ± 0.02) × 10⁻¹⁰,(0.35 ± 0.01) × 10⁻¹⁰,(3.12 ± 0.09) × 10⁻¹¹,(0.39 ± 0.02) × 10⁻¹⁰
