Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
PG 1553+113,00035021001,53480.33,238.92935,11.1901,15 55 43.044,11 11 24.36,13.53 ± 0.03,14.49 ± 0.03,14.14 ± 0.03,13.46 ± 0.02,13.6 ± 0.02,13.5 ± 0.03,(0.6 ± 0.02) × 10⁻¹⁰,(0.55 ± 0.01) × 10⁻¹⁰,(0.52 ± 0.01) × 10⁻¹⁰,(0.59 ± 0.01) × 10⁻¹⁰,(0.55 ± 0.01) × 10⁻¹⁰,(0.65 ± 0.02) × 10⁻¹⁰
PG 1553+113,00035021002,53649.48,238.92935,11.1901,15 55 43.044,11 11 24.36,13.22 ± 0.03,14.12 ± 0.03,13.85 ± 0.04,13.14 ± 0.03,13.26 ± 0.02,13.2 ± 0.03,(0.8 ± 0.02) × 10⁻¹⁰,(0.78 ± 0.02) × 10⁻¹⁰,(0.68 ± 0.02) × 10⁻¹⁰,(0.78 ± 0.02) × 10⁻¹⁰,(0.76 ± 0.02) × 10⁻¹⁰,(0.85 ± 0.02) × 10⁻¹⁰
PG 1553+113,00035021003,53651.36,238.92935,11.1901,15 55 43.044,11 11 24.36,13.25 ± 0.03,14.09 ± 0.03,13.77 ± 0.04,13.07 ± 0.03,13.2 ± 0.03,13.07 ± 0.03,(0.78 ± 0.02) × 10⁻¹⁰,(0.8 ± 0.02) × 10⁻¹⁰,(0.73 ± 0.02) × 10⁻¹⁰,(0.84 ± 0.02) × 10⁻¹⁰,(0.8 ± 0.02) × 10⁻¹⁰,(0.95 ± 0.03) × 10⁻¹⁰
PG 1553+113,00031368001,54895.11,238.92935,11.1901,15 55 43.044,11 11 24.36,13.85 ± 0.03,14.76 ± 0.03,14.47 ± 0.04,13.79 ± 0.03,13.82 ± 0.02,13.72 ± 0.03,(0.44 ± 0.01) × 10⁻¹⁰,(0.43 ± 0.01) × 10⁻¹⁰,(0.38 ± 0.01) × 10⁻¹⁰,(0.43 ± 0.01) × 10⁻¹⁰,(0.45 ± 0.01) × 10⁻¹⁰,(0.52 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368003,54933.5,238.92935,11.1901,15 55 43.044,11 11 24.36,14.12 ± 0.05,14.97 ± 0.05,14.55 ± 0.06,13.93 ± 0.04,14.19 ± 0.04,14.02 ± 0.05,(0.35 ± 0.01) × 10⁻¹⁰,(0.35 ± 0.02) × 10⁻¹⁰,(0.36 ± 0.02) × 10⁻¹⁰,(0.38 ± 0.01) × 10⁻¹⁰,(0.32 ± 0.01) × 10⁻¹⁰,(0.4 ± 0.02) × 10⁻¹⁰
PG 1553+113,00031368004,54956.25,238.92935,11.1901,15 55 43.044,11 11 24.36,13.94 ± 0.03,14.82 ± 0.03,14.51 ± 0.03,13.85 ± 0.03,13.99 ± 0.02,13.88 ± 0.03,(0.41 ± 0.01) × 10⁻¹⁰,(0.41 ± 0.01) × 10⁻¹⁰,(0.37 ± 0.01) × 10⁻¹⁰,(0.41 ± 0.01) × 10⁻¹⁰,(0.39 ± 0.01) × 10⁻¹⁰,(0.45 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368005,54987.72,238.92935,11.1901,15 55 43.044,11 11 24.36,14.07 ± 0.04,14.93 ± 0.04,14.57 ± 0.06,14.01 ± 0.04,14.18 ± 0.03,14.07 ± 0.04,(0.36 ± 0.01) × 10⁻¹⁰,(0.37 ± 0.01) × 10⁻¹⁰,(0.35 ± 0.02) × 10⁻¹⁰,(0.35 ± 0.01) × 10⁻¹⁰,(0.32 ± 0.01) × 10⁻¹⁰,(0.38 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368006,55017.46,238.92935,11.1901,15 55 43.044,11 11 24.36,14.19 ± 0.03,15.06 ± 0.03,14.68 ± 0.04,14.12 ± 0.03,14.31 ± 0.03,14.18 ± 0.04,(0.33 ± 0.01) × 10⁻¹⁰,(0.33 ± 0.01) × 10⁻¹⁰,(0.32 ± 0.01) × 10⁻¹⁰,(0.32 ± 0.01) × 10⁻¹⁰,(2.88 ± 0.08) × 10⁻¹¹,(0.34 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368007,55019.67,238.92935,11.1901,15 55 43.044,11 11 24.36,14.26 ± 0.03,15.13 ± 0.03,14.73 ± 0.04,14.24 ± 0.03,14.39 ± 0.03,14.3 ± 0.04,(3.05 ± 0.09) × 10⁻¹¹,(3.07 ± 0.09) × 10⁻¹¹,(3.04 ± 0.12) × 10⁻¹¹,(2.85 ± 0.08) × 10⁻¹¹,(2.68 ± 0.07) × 10⁻¹¹,(3.08 ± 0.1) × 10⁻¹¹
PG 1553+113,00031368008,55048.11,238.92935,11.1901,15 55 43.044,11 11 24.36,14.07 ± 0.03,14.98 ± 0.03,14.62 ± 0.04,14.07 ± 0.03,14.29 ± 0.03,14.15 ± 0.03,(0.36 ± 0.01) × 10⁻¹⁰,(0.35 ± 0.01) × 10⁻¹⁰,(0.34 ± 0.01) × 10⁻¹⁰,(0.33 ± 0.01) × 10⁻¹⁰,(2.94 ± 0.07) × 10⁻¹¹,(0.35 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368009,55083.11,238.92935,11.1901,15 55 43.044,11 11 24.36,14.15 ± 0.03,15.03 ± 0.03,14.7 ± 0.04,14.1 ± 0.03,14.21 ± 0.03,14.11 ± 0.03,(0.34 ± 0.01) × 10⁻¹⁰,(0.34 ± 0.01) × 10⁻¹⁰,(3.11 ± 0.11) × 10⁻¹¹,(0.32 ± 0.01) × 10⁻¹⁰,(3.15 ± 0.07) × 10⁻¹¹,(0.37 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368010,55107.68,238.92935,11.1901,15 55 43.044,11 11 24.36,14.15 ± 0.03,15.04 ± 0.03,14.75 ± 0.04,14.08 ± 0.03,14.2 ± 0.03,14.06 ± 0.03,(0.34 ± 0.01) × 10⁻¹⁰,(0.33 ± 0.01) × 10⁻¹⁰,(2.97 ± 0.11) × 10⁻¹¹,(0.33 ± 0.01) × 10⁻¹⁰,(0.32 ± 0.01) × 10⁻¹⁰,(0.39 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368011,55198.21,238.92935,11.1901,15 55 43.044,11 11 24.36,14.16 ± 0.03,15.06 ± 0.03,14.75 ± 0.05,14.12 ± 0.03,14.29 ± 0.03,14.15 ± 0.04,(0.33 ± 0.01) × 10⁻¹⁰,(0.33 ± 0.01) × 10⁻¹⁰,(2.98 ± 0.12) × 10⁻¹¹,(0.32 ± 0.01) × 10⁻¹⁰,(2.93 ± 0.08) × 10⁻¹¹,(0.36 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368012,55232.84,238.92935,11.1901,15 55 43.044,11 11 24.36,14.14 ± 0.04,15.0 ± 0.03,14.62 ± 0.05,14.15 ± 0.03,14.38 ± 0.03,14.22 ± 0.04,(0.34 ± 0.01) × 10⁻¹⁰,(0.34 ± 0.01) × 10⁻¹⁰,(0.33 ± 0.01) × 10⁻¹⁰,(3.11 ± 0.1) × 10⁻¹¹,(2.69 ± 0.07) × 10⁻¹¹,(0.33 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368013,55781.36,238.92935,11.1901,15 55 43.044,11 11 24.36,14.09 ± 0.03,15.03 ± 0.03,14.66 ± 0.04,14.04 ± 0.03,14.19 ± 0.03,14.08 ± 0.03,(0.36 ± 0.01) × 10⁻¹⁰,(0.34 ± 0.01) × 10⁻¹⁰,(0.32 ± 0.01) × 10⁻¹⁰,(0.34 ± 0.01) × 10⁻¹⁰,(0.32 ± 0.01) × 10⁻¹⁰,(0.38 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368014,55973.59,238.92935,11.1901,15 55 43.044,11 11 24.36,13.89 ± 0.03,14.84 ± 0.03,14.49 ± 0.05,13.87 ± 0.03,13.93 ± 0.03,13.85 ± 0.04,(0.43 ± 0.01) × 10⁻¹⁰,(0.4 ± 0.01) × 10⁻¹⁰,(0.38 ± 0.02) × 10⁻¹⁰,(0.4 ± 0.01) × 10⁻¹⁰,(0.41 ± 0.01) × 10⁻¹⁰,(0.46 ± 0.02) × 10⁻¹⁰
PG 1553+113,00041573001,55978.63,238.92935,11.1901,15 55 43.044,11 11 24.36,13.82 ± 0.03,14.77 ± 0.03,14.38 ± 0.04,13.79 ± 0.03,13.95 ± 0.03,13.88 ± 0.03,(0.46 ± 0.01) × 10⁻¹⁰,(0.43 ± 0.01) × 10⁻¹⁰,(0.42 ± 0.01) × 10⁻¹⁰,(0.43 ± 0.01) × 10⁻¹⁰,(0.4 ± 0.01) × 10⁻¹⁰,(0.46 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368015,55980.72,238.92935,11.1901,15 55 43.044,11 11 24.36,13.83 ± 0.03,14.72 ± 0.03,14.42 ± 0.04,13.76 ± 0.03,13.89 ± 0.03,13.75 ± 0.03,(0.46 ± 0.01) × 10⁻¹⁰,(0.45 ± 0.01) × 10⁻¹⁰,(0.4 ± 0.01) × 10⁻¹⁰,(0.45 ± 0.01) × 10⁻¹⁰,(0.42 ± 0.01) × 10⁻¹⁰,(0.51 ± 0.01) × 10⁻¹⁰
