Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
PKS 0208-512,00035002006,54709.59,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.76 ± 0.1,17.79 ± 0.12,17.46 ± 0.2,16.72 ± 0.1,17.0 ± 0.08,16.75 ± 0.14,(2.63 ± 0.24) × 10⁻¹²,(2.35 ± 0.26) × 10⁻¹²,(2.25 ± 0.4) × 10⁻¹²,(2.4 ± 0.22) × 10⁻¹²,(1.89 ± 0.14) × 10⁻¹²,(2.46 ± 0.31) × 10⁻¹²
PKS 0208-512,00035002007,54718.53,32.6925,-51.01719,2 10 46.2,-51 01 01.884,17.25 ± 0.08,18.1 ± 0.09,17.81 ± 0.15,16.98 ± 0.07,17.27 ± 0.06,16.73 ± 0.07,(1.68 ± 0.12) × 10⁻¹²,(1.77 ± 0.14) × 10⁻¹²,(1.63 ± 0.22) × 10⁻¹²,(1.89 ± 0.12) × 10⁻¹²,(1.49 ± 0.08) × 10⁻¹²,(2.52 ± 0.15) × 10⁻¹²
PKS 0208-512,00035002008,54732.43,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.54 ± 0.1,17.25 ± 0.1,16.9 ± 0.15,16.57 ± 0.1,16.74 ± 0.08,16.31 ± 0.1,(0.32 ± 0.03) × 10⁻¹¹,(0.39 ± 0.04) × 10⁻¹¹,(0.37 ± 0.05) × 10⁻¹¹,(2.76 ± 0.25) × 10⁻¹²,(2.41 ± 0.17) × 10⁻¹²,(0.37 ± 0.03) × 10⁻¹¹
PKS 0208-512,00035002009,54739.9,32.6925,-51.01719,2 10 46.2,-51 01 01.884,15.77 ± 0.07,16.69 ± 0.08,16.35 ± 0.13,15.8 ± 0.07,16.18 ± 0.06,15.82 ± 0.08,(0.66 ± 0.04) × 10⁻¹¹,(0.65 ± 0.05) × 10⁻¹¹,(0.63 ± 0.07) × 10⁻¹¹,(0.56 ± 0.04) × 10⁻¹¹,(0.4 ± 0.02) × 10⁻¹¹,(0.58 ± 0.04) × 10⁻¹¹
PKS 0208-512,00035002010,54747.45,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.41 ± 0.06,17.38 ± 0.07,16.73 ± 0.09,16.33 ± 0.06,16.66 ± 0.05,16.3 ± 0.06,(0.36 ± 0.02) × 10⁻¹¹,(0.34 ± 0.02) × 10⁻¹¹,(0.44 ± 0.04) × 10⁻¹¹,(0.34 ± 0.02) × 10⁻¹¹,(2.6 ± 0.12) × 10⁻¹²,(0.37 ± 0.02) × 10⁻¹¹
PKS 0208-512,00035002012,54757.03,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.39 ± 0.1,17.29 ± 0.11,16.73 ± 0.15,16.32 ± 0.1,16.77 ± 0.09,16.61 ± 0.12,(0.37 ± 0.03) × 10⁻¹¹,(0.37 ± 0.04) × 10⁻¹¹,(0.44 ± 0.06) × 10⁻¹¹,(0.35 ± 0.03) × 10⁻¹¹,(2.34 ± 0.18) × 10⁻¹²,(2.81 ± 0.32) × 10⁻¹²
PKS 0208-512,00035002013,54760.54,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.46 ± 0.08,-,-,16.38 ± 0.06,-,-,(0.35 ± 0.02) × 10⁻¹¹,-,-,(0.33 ± 0.02) × 10⁻¹¹,-,-
PKS 0208-512,00035002014,54762.68,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.45 ± 0.05,17.42 ± 0.06,16.95 ± 0.09,16.47 ± 0.05,16.76 ± 0.05,16.39 ± 0.06,(0.35 ± 0.02) × 10⁻¹¹,(0.33 ± 0.02) × 10⁻¹¹,(0.36 ± 0.03) × 10⁻¹¹,(3.02 ± 0.15) × 10⁻¹²,(2.37 ± 0.1) × 10⁻¹²,(0.34 ± 0.02) × 10⁻¹¹
PKS 0208-512,00035002015,54767.12,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.55 ± 0.07,17.63 ± 0.08,17.02 ± 0.11,16.5 ± 0.07,16.85 ± 0.06,16.42 ± 0.07,(0.32 ± 0.02) × 10⁻¹¹,(2.73 ± 0.21) × 10⁻¹²,(0.34 ± 0.04) × 10⁻¹¹,(2.93 ± 0.18) × 10⁻¹²,(2.18 ± 0.12) × 10⁻¹²,(0.33 ± 0.02) × 10⁻¹¹
PKS 0208-512,00035002016,54774.35,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.7 ± 0.06,17.64 ± 0.08,17.28 ± 0.11,16.55 ± 0.06,16.86 ± 0.05,16.61 ± 0.07,(2.79 ± 0.17) × 10⁻¹²,(2.7 ± 0.19) × 10⁻¹²,(2.65 ± 0.28) × 10⁻¹²,(2.8 ± 0.16) × 10⁻¹²,(2.17 ± 0.1) × 10⁻¹²,(2.79 ± 0.17) × 10⁻¹²
PKS 0208-512,00035002017,54780.82,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.81 ± 0.06,17.84 ± 0.08,-,16.79 ± 0.06,17.04 ± 0.06,-,(2.52 ± 0.14) × 10⁻¹²,(2.24 ± 0.16) × 10⁻¹²,-,(2.24 ± 0.13) × 10⁻¹²,(1.83 ± 0.11) × 10⁻¹²,-
PKS 0208-512,00035002018,54788.55,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.74 ± 0.06,17.76 ± 0.08,17.28 ± 0.11,16.58 ± 0.06,16.89 ± 0.05,16.55 ± 0.06,(2.69 ± 0.16) × 10⁻¹²,(2.42 ± 0.17) × 10⁻¹²,(2.64 ± 0.27) × 10⁻¹²,(2.73 ± 0.15) × 10⁻¹²,(2.1 ± 0.1) × 10⁻¹²,(2.97 ± 0.18) × 10⁻¹²
PKS 0208-512,00035002020,54793.56,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.86 ± 0.07,17.88 ± 0.08,-,16.65 ± 0.06,17.2 ± 0.11,-,(2.4 ± 0.15) × 10⁻¹²,(2.16 ± 0.17) × 10⁻¹²,-,(2.55 ± 0.15) × 10⁻¹²,(1.58 ± 0.16) × 10⁻¹²,-
PKS 0208-512,00035002021,54795.47,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.75 ± 0.06,17.66 ± 0.07,17.13 ± 0.1,16.55 ± 0.06,16.9 ± 0.05,16.44 ± 0.07,(2.67 ± 0.16) × 10⁻¹²,(2.65 ± 0.18) × 10⁻¹²,(3.05 ± 0.29) × 10⁻¹²,(2.81 ± 0.15) × 10⁻¹²,(2.08 ± 0.1) × 10⁻¹²,(0.33 ± 0.02) × 10⁻¹¹
PKS 0208-512,00035002022,54802.79,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.47 ± 0.09,17.57 ± 0.11,17.21 ± 0.16,16.37 ± 0.08,16.7 ± 0.07,16.4 ± 0.09,(0.35 ± 0.03) × 10⁻¹¹,(2.88 ± 0.3) × 10⁻¹²,(2.83 ± 0.42) × 10⁻¹²,(0.33 ± 0.02) × 10⁻¹¹,(2.49 ± 0.16) × 10⁻¹²,(0.34 ± 0.03) × 10⁻¹¹
PKS 0208-512,00035002023,54809.49,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.51 ± 0.06,17.42 ± 0.07,17.3 ± 0.12,16.56 ± 0.07,16.82 ± 0.05,16.39 ± 0.07,(0.33 ± 0.02) × 10⁻¹¹,(0.33 ± 0.02) × 10⁻¹¹,(2.61 ± 0.28) × 10⁻¹²,(2.78 ± 0.17) × 10⁻¹²,(2.25 ± 0.11) × 10⁻¹²,(0.34 ± 0.02) × 10⁻¹¹
PKS 0208-512,00035002024,54814.68,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.67 ± 0.1,17.88 ± 0.13,17.42 ± 0.19,16.71 ± 0.1,16.95 ± 0.08,16.49 ± 0.09,(2.88 ± 0.25) × 10⁻¹²,(2.16 ± 0.27) × 10⁻¹²,(2.34 ± 0.41) × 10⁻¹²,(2.43 ± 0.22) × 10⁻¹²,(2.0 ± 0.15) × 10⁻¹²,(3.13 ± 0.26) × 10⁻¹²
PKS 0208-512,00035002025,54816.08,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.79 ± 0.09,18.32 ± 0.19,17.4 ± 0.16,16.83 ± 0.09,17.02 ± 0.07,16.58 ± 0.09,(2.57 ± 0.22) × 10⁻¹²,(1.44 ± 0.25) × 10⁻¹²,(2.36 ± 0.35) × 10⁻¹²,(2.17 ± 0.17) × 10⁻¹²,(1.86 ± 0.11) × 10⁻¹²,(2.88 ± 0.23) × 10⁻¹²
PKS 0208-512,00035002026,54817.49,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.83 ± 0.09,17.81 ± 0.12,17.58 ± 0.18,16.61 ± 0.08,16.98 ± 0.06,16.53 ± 0.08,(2.47 ± 0.21) × 10⁻¹²,(2.31 ± 0.26) × 10⁻¹²,(2.0 ± 0.34) × 10⁻¹²,(2.66 ± 0.18) × 10⁻¹²,(1.94 ± 0.12) × 10⁻¹²,(3.01 ± 0.23) × 10⁻¹²
PKS 0208-512,00035002027,54820.18,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.8 ± 0.07,17.91 ± 0.09,17.94 ± 0.17,16.7 ± 0.07,17.03 ± 0.06,16.66 ± 0.07,(2.56 ± 0.16) × 10⁻¹²,(2.1 ± 0.17) × 10⁻¹²,(1.45 ± 0.23) × 10⁻¹²,(2.45 ± 0.15) × 10⁻¹²,(1.85 ± 0.1) × 10⁻¹²,(2.69 ± 0.18) × 10⁻¹²
PKS 0208-512,00035002028,54820.84,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.9 ± 0.06,18.01 ± 0.08,17.45 ± 0.11,16.65 ± 0.06,16.96 ± 0.05,16.59 ± 0.06,(2.33 ± 0.14) × 10⁻¹²,(1.92 ± 0.15) × 10⁻¹²,(2.26 ± 0.24) × 10⁻¹²,(2.55 ± 0.14) × 10⁻¹²,(1.97 ± 0.09) × 10⁻¹²,(2.85 ± 0.16) × 10⁻¹²
PKS 0208-512,00035002029,54823.14,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.91 ± 0.06,17.99 ± 0.08,17.66 ± 0.12,16.69 ± 0.06,16.98 ± 0.05,16.67 ± 0.06,(2.31 ± 0.14) × 10⁻¹²,(1.94 ± 0.15) × 10⁻¹²,(1.86 ± 0.2) × 10⁻¹²,(2.47 ± 0.13) × 10⁻¹²,(1.93 ± 0.08) × 10⁻¹²,(2.65 ± 0.13) × 10⁻¹²
PKS 0208-512,00035002030,54824.89,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.98 ± 0.06,17.9 ± 0.07,17.62 ± 0.12,16.79 ± 0.06,16.96 ± 0.05,16.71 ± 0.06,(2.17 ± 0.13) × 10⁻¹²,(2.12 ± 0.14) × 10⁻¹²,(1.93 ± 0.21) × 10⁻¹²,(2.25 ± 0.12) × 10⁻¹²,(1.97 ± 0.08) × 10⁻¹²,(2.55 ± 0.14) × 10⁻¹²
PKS 0208-512,00035002031,54826.24,32.6925,-51.01719,2 10 46.2,-51 01 01.884,16.99 ± 0.1,17.81 ± 0.12,17.27 ± 0.16,16.72 ± 0.09,17.0 ± 0.08,16.51 ± 0.11,(2.14 ± 0.2) × 10⁻¹²,(2.3 ± 0.25) × 10⁻¹²,(2.66 ± 0.4) × 10⁻¹²,(2.4 ± 0.2) × 10⁻¹²,(1.91 ± 0.14) × 10⁻¹²,(3.08 ± 0.31) × 10⁻¹²
PKS 0208-512,00035002032,54887.04,32.6925,-51.01719,2 10 46.2,-51 01 01.884,17.01 ± 0.09,18.14 ± 0.14,17.8 ± 0.18,16.81 ± 0.07,17.25 ± 0.06,16.79 ± 0.08,(2.1 ± 0.17) × 10⁻¹²,(1.69 ± 0.21) × 10⁻¹²,(1.63 ± 0.27) × 10⁻¹²,(2.2 ± 0.14) × 10⁻¹²,(1.52 ± 0.09) × 10⁻¹²,(2.37 ± 0.17) × 10⁻¹²
PKS 0208-512,00035002033,55084.12,32.6925,-51.01719,2 10 46.2,-51 01 01.884,17.49 ± 0.09,18.74 ± 0.14,17.95 ± 0.17,17.39 ± 0.08,17.74 ± 0.07,17.36 ± 0.09,(1.36 ± 0.11) × 10⁻¹²,(0.98 ± 0.13) × 10⁻¹²,(1.43 ± 0.22) × 10⁻¹²,(1.29 ± 0.1) × 10⁻¹²,(0.96 ± 0.06) × 10⁻¹²,(1.4 ± 0.12) × 10⁻¹²
PKS 0208-512,00035002034,55091.15,32.6925,-51.01719,2 10 46.2,-51 01 01.884,17.61 ± 0.09,18.8 ± 0.13,18.12 ± 0.17,17.42 ± 0.08,17.68 ± 0.06,17.21 ± 0.08,(1.21 ± 0.1) × 10⁻¹²,(0.93 ± 0.11) × 10⁻¹²,(1.23 ± 0.19) × 10⁻¹²,(1.26 ± 0.09) × 10⁻¹²,(1.02 ± 0.06) × 10⁻¹²,(1.61 ± 0.12) × 10⁻¹²
