Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
PKS 0235+164,00035004001,53549.31,39.66221,16.61647,2 38 38.9304,16 36 59.292,20.08 ± 0.87,19.88 ± 0.61,18.81 ± 0.46,19.5 ± 0.34,19.61 ± 0.18,20.63 ± 0.5,(1.62 ± 1.3) × 10⁻¹³,(0.43 ± 0.24) × 10⁻¹²,(0.77 ± 0.33) × 10⁻¹²,(2.65 ± 0.82) × 10⁻¹³,(2.68 ± 0.44) × 10⁻¹³,(1.14 ± 0.53) × 10⁻¹³
PKS 0235+164,00035004002,53558.52,39.66221,16.61647,2 38 38.9304,16 36 59.292,-,19.17 ± 0.38,18.94 ± 0.63,18.85 ± 0.24,19.62 ± 0.23,19.95 ± 0.42,-,(0.82 ± 0.29) × 10⁻¹²,(0.68 ± 0.39) × 10⁻¹²,(0.48 ± 0.11) × 10⁻¹²,(2.66 ± 0.57) × 10⁻¹³,(2.14 ± 0.83) × 10⁻¹³
PKS 0235+164,00030880001,54128.45,39.66221,16.61647,2 38 38.9304,16 36 59.292,17.05 ± 0.1,-,-,17.51 ± 0.12,18.18 ± 0.3,17.38 ± 0.11,(2.66 ± 0.24) × 10⁻¹²,-,-,(1.67 ± 0.18) × 10⁻¹²,(1.0 ± 0.28) × 10⁻¹²,(2.28 ± 0.24) × 10⁻¹²
PKS 0235+164,00030880002,54129.39,39.66221,16.61647,2 38 38.9304,16 36 59.292,17.76 ± 0.14,-,-,17.77 ± 0.12,18.28 ± 0.11,17.99 ± 0.14,(1.38 ± 0.17) × 10⁻¹²,-,-,(1.3 ± 0.15) × 10⁻¹²,(0.91 ± 0.09) × 10⁻¹²,(1.3 ± 0.16) × 10⁻¹²
PKS 0235+164,00030880003,54132.17,39.66221,16.61647,2 38 38.9304,16 36 59.292,17.69 ± 0.13,-,-,18.0 ± 0.14,18.55 ± 0.13,17.88 ± 0.12,(1.47 ± 0.17) × 10⁻¹²,-,-,(1.06 ± 0.14) × 10⁻¹²,(0.71 ± 0.08) × 10⁻¹²,(1.44 ± 0.17) × 10⁻¹²
PKS 0235+164,00030880004,54133.14,39.66221,16.61647,2 38 38.9304,16 36 59.292,17.77 ± 0.1,-,-,18.16 ± 0.11,18.68 ± 0.1,18.38 ± 0.12,(1.37 ± 0.12) × 10⁻¹²,-,-,(0.91 ± 0.09) × 10⁻¹²,(0.63 ± 0.06) × 10⁻¹²,(0.91 ± 0.1) × 10⁻¹²
PKS 0235+164,00030880005,54134.47,39.66221,16.61647,2 38 38.9304,16 36 59.292,18.27 ± 0.24,-,-,18.04 ± 0.18,18.74 ± 0.19,18.42 ± 0.21,(0.86 ± 0.19) × 10⁻¹²,-,-,(1.02 ± 0.17) × 10⁻¹²,(0.6 ± 0.1) × 10⁻¹²,(0.87 ± 0.17) × 10⁻¹²
PKS 0235+164,00030880006,54135.78,39.66221,16.61647,2 38 38.9304,16 36 59.292,17.4 ± 0.14,-,-,17.66 ± 0.15,18.07 ± 0.13,18.07 ± 0.18,(1.92 ± 0.24) × 10⁻¹²,-,-,(1.44 ± 0.2) × 10⁻¹²,(1.1 ± 0.13) × 10⁻¹²,(1.2 ± 0.2) × 10⁻¹²
PKS 0235+164,00030880007,54136.81,39.66221,16.61647,2 38 38.9304,16 36 59.292,18.26 ± 0.18,-,-,18.04 ± 0.13,18.58 ± 0.13,18.4 ± 0.15,(0.87 ± 0.14) × 10⁻¹²,-,-,(1.02 ± 0.12) × 10⁻¹²,(0.69 ± 0.08) × 10⁻¹²,(0.89 ± 0.13) × 10⁻¹²
PKS 0235+164,00030880008,54137.46,39.66221,16.61647,2 38 38.9304,16 36 59.292,17.93 ± 0.16,-,-,18.26 ± 0.17,18.92 ± 0.17,18.62 ± 0.2,(1.18 ± 0.17) × 10⁻¹²,-,-,(0.83 ± 0.13) × 10⁻¹²,(0.51 ± 0.08) × 10⁻¹²,(0.73 ± 0.13) × 10⁻¹²
