Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
RXS J05439-5532,00039132001,55158.73,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,-,-,16.68 ± 0.04,-,-,-,-,-,(0.42 ± 0.02) × 10⁻¹¹
RXS J05439-5532,00041629001,55512.91,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,16.68 ± 0.05,17.61 ± 0.06,17.3 ± 0.12,16.57 ± 0.05,16.63 ± 0.04,16.55 ± 0.06,(0.36 ± 0.02) × 10⁻¹¹,(0.34 ± 0.02) × 10⁻¹¹,(3.03 ± 0.32) × 10⁻¹²,(0.38 ± 0.02) × 10⁻¹¹,(0.4 ± 0.02) × 10⁻¹¹,(0.47 ± 0.02) × 10⁻¹¹
RXS J05439-5532,00040869001,55554.79,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,16.74 ± 0.06,17.76 ± 0.07,-,16.59 ± 0.07,16.74 ± 0.05,16.56 ± 0.06,(0.35 ± 0.02) × 10⁻¹¹,(2.95 ± 0.2) × 10⁻¹²,-,(0.38 ± 0.02) × 10⁻¹¹,(0.36 ± 0.02) × 10⁻¹¹,(0.47 ± 0.03) × 10⁻¹¹
RXS J05439-5532,00081711001,57375.0,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.82 ± 0.03,-,15.81 ± 0.04,-,-,-,(0.76 ± 0.02) × 10⁻¹¹,-,(0.93 ± 0.03) × 10⁻¹¹
RXS J05439-5532,00041629002,58363.13,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.13 ± 0.03,-,-,-,-,-,(1.45 ± 0.04) × 10⁻¹¹,-,-
RXS J05439-5532,00041629003,58367.84,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.22 ± 0.04,-,-,-,-,-,(1.33 ± 0.04) × 10⁻¹¹,-,-
RXS J05439-5532,00041629005,58375.14,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.11 ± 0.03,-,-,-,-,-,(1.47 ± 0.05) × 10⁻¹¹,-,-
RXS J05439-5532,00041629006,58379.53,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.2 ± 0.04,-,-,-,-,-,(1.36 ± 0.04) × 10⁻¹¹,-,-
RXS J05439-5532,00041629007,58383.19,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.2 ± 0.04,-,-,-,-,-,(1.35 ± 0.04) × 10⁻¹¹,-,-
RXS J05439-5532,00041629008,58387.5,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.18 ± 0.03,-,-,-,-,-,(1.38 ± 0.04) × 10⁻¹¹,-,-
RXS J05439-5532,00041629009,58391.02,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.18 ± 0.03,-,-,-,-,-,(1.38 ± 0.04) × 10⁻¹¹,-,-
RXS J05439-5532,00041629010,58395.0,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.24 ± 0.03,-,-,-,-,-,(1.31 ± 0.04) × 10⁻¹¹,-,-
RXS J05439-5532,00041629011,58399.58,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.27 ± 0.03,-,-,-,-,-,(1.27 ± 0.04) × 10⁻¹¹,-,-
RXS J05439-5532,00041629012,58403.83,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.2 ± 0.04,-,-,-,-,-,(1.35 ± 0.04) × 10⁻¹¹,-,-
RXS J05439-5532,00041629013,58407.03,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.27 ± 0.04,-,-,-,-,-,(1.28 ± 0.04) × 10⁻¹¹,-,-
RXS J05439-5532,00041629014,58411.14,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.32 ± 0.04,-,-,-,-,-,(1.22 ± 0.04) × 10⁻¹¹,-,-
RXS J05439-5532,00041629015,58415.13,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.1 ± 0.03,-,-,-,-,-,(1.48 ± 0.05) × 10⁻¹¹,-,-
RXS J05439-5532,00041629016,58419.65,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.16 ± 0.03,-,-,-,-,-,(1.41 ± 0.04) × 10⁻¹¹,-,-
RXS J05439-5532,00041629017,58423.5,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.13 ± 0.03,-,-,-,-,-,(1.44 ± 0.04) × 10⁻¹¹,-,-
RXS J05439-5532,00041629018,58427.95,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,14.85 ± 0.03,-,-,-,-,-,(1.88 ± 0.05) × 10⁻¹¹,-,-
RXS J05439-5532,00041629019,58431.47,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,14.85 ± 0.03,-,-,-,-,-,(1.87 ± 0.05) × 10⁻¹¹,-,-
RXS J05439-5532,00041629020,58435.59,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.01 ± 0.03,-,-,-,-,-,(1.62 ± 0.05) × 10⁻¹¹,-,-
RXS J05439-5532,00041629021,58439.7,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,14.84 ± 0.03,-,-,-,-,-,(1.9 ± 0.05) × 10⁻¹¹,-,-
RXS J05439-5532,00041629022,58443.28,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.13 ± 0.03,-,-,-,-,-,(1.45 ± 0.04) × 10⁻¹¹,-,-
RXS J05439-5532,00041629023,58447.53,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.09 ± 0.03,-,-,-,-,-,(1.5 ± 0.04) × 10⁻¹¹,-,-
RXS J05439-5532,00041629024,58451.39,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,14.99 ± 0.03,-,-,-,-,-,(1.64 ± 0.05) × 10⁻¹¹,-,-
RXS J05439-5532,00041629025,58455.5,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,14.93 ± 0.03,-,-,-,-,-,(1.74 ± 0.05) × 10⁻¹¹,-,-
RXS J05439-5532,00041629026,58459.69,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.17 ± 0.04,-,-,-,-,-,(1.4 ± 0.05) × 10⁻¹¹,-,-
RXS J05439-5532,00041629028,58463.03,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.05 ± 0.03,-,-,-,-,-,(1.55 ± 0.05) × 10⁻¹¹,-,-
RXS J05439-5532,00041629029,58467.07,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.22 ± 0.03,-,-,-,-,-,(1.33 ± 0.04) × 10⁻¹¹,-,-
RXS J05439-5532,00041629030,58471.98,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.02 ± 0.03,-,-,-,-,-,(1.59 ± 0.05) × 10⁻¹¹,-,-
RXS J05439-5532,00041629031,58475.62,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.14 ± 0.03,-,-,-,-,-,(1.44 ± 0.05) × 10⁻¹¹,-,-
RXS J05439-5532,00041629032,58479.42,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,15.04 ± 0.03,-,-,-,-,-,(1.57 ± 0.05) × 10⁻¹¹,-,-
RXS J05439-5532,00041629034,58502.05,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,-,-,15.02 ± 0.04,-,-,-,-,-,(1.94 ± 0.07) × 10⁻¹¹
RXS J05439-5532,00041629035,58506.24,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,-,-,14.9 ± 0.04,-,-,-,-,-,(2.16 ± 0.08) × 10⁻¹¹
RXS J05439-5532,00041629036,58510.22,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,-,-,15.01 ± 0.04,-,-,-,-,-,(1.95 ± 0.07) × 10⁻¹¹
RXS J05439-5532,00041629038,58518.79,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,-,-,14.88 ± 0.04,-,-,-,-,-,(2.19 ± 0.08) × 10⁻¹¹
RXS J05439-5532,00041629039,58522.65,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,-,-,14.93 ± 0.04,-,-,-,-,-,(2.1 ± 0.07) × 10⁻¹¹
RXS J05439-5532,00041629041,58534.6,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,-,-,14.87 ± 0.05,-,-,-,-,-,(2.23 ± 0.1) × 10⁻¹¹
RXS J05439-5532,00041629042,58538.32,85.98838,-55.53542,5 43 57.2112,-55 32 07.512,-,-,-,-,-,14.96 ± 0.04,-,-,-,-,-,(2.04 ± 0.07) × 10⁻¹¹
