Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
S5 1803+784,00036393001,54149.19,270.19035,78.46778,18 00 45.684,78 28 04.008,16.42 ± 0.1,16.87 ± 0.1,16.58 ± 0.14,16.43 ± 0.09,16.65 ± 0.07,16.57 ± 0.11,(0.42 ± 0.04) × 10⁻¹¹,(0.62 ± 0.05) × 10⁻¹¹,(0.55 ± 0.07) × 10⁻¹¹,(0.38 ± 0.03) × 10⁻¹¹,(0.33 ± 0.02) × 10⁻¹¹,(0.38 ± 0.04) × 10⁻¹¹
S5 1803+784,00036393002,54214.53,270.19035,78.46778,18 00 45.684,78 28 04.008,-,-,-,-,-,16.79 ± 0.05,-,-,-,-,-,(3.12 ± 0.14) × 10⁻¹²
S5 1803+784,00036393003,54987.53,270.19035,78.46778,18 00 45.684,78 28 04.008,-,-,-,16.48 ± 0.04,-,-,-,-,-,(0.36 ± 0.01) × 10⁻¹¹,-,-
S5 1803+784,00036393004,54990.11,270.19035,78.46778,18 00 45.684,78 28 04.008,-,-,-,-,16.97 ± 0.05,16.92 ± 0.04,-,-,-,-,(2.49 ± 0.11) × 10⁻¹²,(2.76 ± 0.1) × 10⁻¹²
S5 1803+784,00036393005,55117.11,270.19035,78.46778,18 00 45.684,78 28 04.008,15.6 ± 0.04,16.37 ± 0.04,15.86 ± 0.05,15.75 ± 0.04,16.08 ± 0.04,15.86 ± 0.05,(0.89 ± 0.03) × 10⁻¹¹,(0.98 ± 0.04) × 10⁻¹¹,(1.07 ± 0.05) × 10⁻¹¹,(0.71 ± 0.03) × 10⁻¹¹,(0.56 ± 0.02) × 10⁻¹¹,(0.73 ± 0.03) × 10⁻¹¹
S5 1803+784,00036393008,55615.12,270.19035,78.46778,18 00 45.684,78 28 04.008,16.28 ± 0.06,16.92 ± 0.06,16.43 ± 0.08,16.35 ± 0.06,16.66 ± 0.05,16.58 ± 0.06,(0.48 ± 0.03) × 10⁻¹¹,(0.59 ± 0.03) × 10⁻¹¹,(0.63 ± 0.05) × 10⁻¹¹,(0.41 ± 0.02) × 10⁻¹¹,(0.33 ± 0.01) × 10⁻¹¹,(0.38 ± 0.02) × 10⁻¹¹
S5 1803+784,00036393009,55615.22,270.19035,78.46778,18 00 45.684,78 28 04.008,-,-,-,16.4 ± 0.03,-,-,-,-,-,(0.39 ± 0.01) × 10⁻¹¹,-,-
S5 1803+784,00036393011,55686.67,270.19035,78.46778,18 00 45.684,78 28 04.008,-,-,-,-,-,16.25 ± 0.04,-,-,-,-,-,(0.51 ± 0.02) × 10⁻¹¹
S5 1803+784,00036393012,55687.76,270.19035,78.46778,18 00 45.684,78 28 04.008,-,-,-,16.07 ± 0.03,-,-,-,-,-,(0.53 ± 0.01) × 10⁻¹¹,-,-
S5 1803+784,00036393013,55688.8,270.19035,78.46778,18 00 45.684,78 28 04.008,15.92 ± 0.03,-,-,-,-,-,(0.66 ± 0.02) × 10⁻¹¹,-,-,-,-,-
S5 1803+784,00036393014,55689.81,270.19035,78.46778,18 00 45.684,78 28 04.008,-,-,-,-,16.23 ± 0.03,16.06 ± 0.03,-,-,-,-,(0.49 ± 0.02) × 10⁻¹¹,(0.61 ± 0.02) × 10⁻¹¹
S5 1803+784,00036393015,55690.87,270.19035,78.46778,18 00 45.684,78 28 04.008,-,-,-,-,-,16.06 ± 0.04,-,-,-,-,-,(0.61 ± 0.02) × 10⁻¹¹
S5 1803+784,00036393016,55930.51,270.19035,78.46778,18 00 45.684,78 28 04.008,15.35 ± 0.05,16.12 ± 0.05,15.56 ± 0.07,15.5 ± 0.05,15.87 ± 0.05,15.68 ± 0.04,(1.12 ± 0.05) × 10⁻¹¹,(1.23 ± 0.06) × 10⁻¹¹,(1.42 ± 0.09) × 10⁻¹¹,(0.9 ± 0.04) × 10⁻¹¹,(0.68 ± 0.03) × 10⁻¹¹,(0.86 ± 0.03) × 10⁻¹¹
S5 1803+784,00036393017,55934.36,270.19035,78.46778,18 00 45.684,78 28 04.008,15.74 ± 0.04,16.36 ± 0.04,15.76 ± 0.05,15.79 ± 0.04,16.09 ± 0.03,16.01 ± 0.04,(0.78 ± 0.03) × 10⁻¹¹,(0.99 ± 0.03) × 10⁻¹¹,(1.18 ± 0.05) × 10⁻¹¹,(0.68 ± 0.02) × 10⁻¹¹,(0.56 ± 0.02) × 10⁻¹¹,(0.64 ± 0.02) × 10⁻¹¹
