Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
TXS 0506+056,00038380001,54882.43,77.35819,5.69315,5 09 25.9656,5 41 35.34,15.41 ± 0.04,16.54 ± 0.05,18.01 ± 0.24,15.71 ± 0.05,18.08 ± 0.11,19.06 ± 0.3,(1.36 ± 0.06) × 10⁻¹¹,(1.02 ± 0.05) × 10⁻¹¹,(1.72 ± 0.38) × 10⁻¹²,(1.03 ± 0.05) × 10⁻¹¹,(1.35 ± 0.14) × 10⁻¹²,(0.61 ± 0.17) × 10⁻¹²
TXS 0506+056,00038380002,55037.51,77.35819,5.69315,5 09 25.9656,5 41 35.34,15.04 ± 0.04,15.74 ± 0.04,15.23 ± 0.05,15.26 ± 0.04,15.58 ± 0.03,15.51 ± 0.04,(1.92 ± 0.07) × 10⁻¹¹,(2.14 ± 0.07) × 10⁻¹¹,(2.23 ± 0.1) × 10⁻¹¹,(1.56 ± 0.05) × 10⁻¹¹,(1.36 ± 0.04) × 10⁻¹¹,(1.62 ± 0.07) × 10⁻¹¹
TXS 0506+056,00041592001,55538.39,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.82 ± 0.04,15.5 ± 0.03,15.07 ± 0.04,14.9 ± 0.03,15.27 ± 0.03,15.16 ± 0.04,(2.33 ± 0.08) × 10⁻¹¹,(2.68 ± 0.08) × 10⁻¹¹,(2.59 ± 0.1) × 10⁻¹¹,(2.18 ± 0.07) × 10⁻¹¹,(1.8 ± 0.05) × 10⁻¹¹,(2.23 ± 0.09) × 10⁻¹¹
TXS 0506+056,00040845001,55663.38,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.91 ± 0.03,15.68 ± 0.03,-,-,15.4 ± 0.03,-,(2.15 ± 0.07) × 10⁻¹¹,(2.25 ± 0.07) × 10⁻¹¹,-,-,(1.6 ± 0.04) × 10⁻¹¹,-
TXS 0506+056,00040845002,55771.19,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.6 ± 0.04,15.33 ± 0.04,-,14.67 ± 0.05,15.05 ± 0.04,14.94 ± 0.05,(2.87 ± 0.11) × 10⁻¹¹,(3.11 ± 0.12) × 10⁻¹¹,-,(2.68 ± 0.12) × 10⁻¹¹,(2.21 ± 0.08) × 10⁻¹¹,(2.73 ± 0.12) × 10⁻¹¹
TXS 0506+056,00010308001,58019.47,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.25 ± 0.03,-,-,-,-,-,(0.4 ± 0.01) × 10⁻¹⁰,-,-,-,-,-
TXS 0506+056,00083368001,58023.85,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.27 ± 0.03,15.06 ± 0.03,14.6 ± 0.04,14.44 ± 0.03,14.65 ± 0.03,14.52 ± 0.03,(0.39 ± 0.01) × 10⁻¹⁰,(0.4 ± 0.01) × 10⁻¹⁰,(0.4 ± 0.01) × 10⁻¹⁰,(0.33 ± 0.01) × 10⁻¹⁰,(0.32 ± 0.01) × 10⁻¹⁰,(0.4 ± 0.01) × 10⁻¹⁰
TXS 0506+056,00083368002,58026.23,77.35819,5.69315,5 09 25.9656,5 41 35.34,-,-,-,-,-,14.87 ± 0.03,-,-,-,-,-,(2.92 ± 0.07) × 10⁻¹¹
TXS 0506+056,00083368003,58028.64,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.57 ± 0.02,-,-,-,-,-,(2.94 ± 0.06) × 10⁻¹¹,-,-,-,-,-
TXS 0506+056,00083368004,58029.67,77.35819,5.69315,5 09 25.9656,5 41 35.34,-,-,-,-,14.72 ± 0.03,-,-,-,-,-,(2.97 ± 0.07) × 10⁻¹¹,-
TXS 0506+056,00083368005,58030.74,77.35819,5.69315,5 09 25.9656,5 41 35.34,-,-,-,-,-,14.66 ± 0.04,-,-,-,-,-,(0.35 ± 0.01) × 10⁻¹⁰
TXS 0506+056,00083368006,58031.79,77.35819,5.69315,5 09 25.9656,5 41 35.34,-,-,-,14.23 ± 0.02,-,-,-,-,-,(0.4 ± 0.01) × 10⁻¹⁰,-,-
TXS 0506+056,00083368008,58032.84,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.49 ± 0.03,-,-,-,15.05 ± 0.03,-,(0.32 ± 0.01) × 10⁻¹⁰,-,-,-,(2.21 ± 0.06) × 10⁻¹¹,-
TXS 0506+056,00083368009,58034.45,77.35819,5.69315,5 09 25.9656,5 41 35.34,-,-,-,-,-,14.8 ± 0.03,-,-,-,-,-,(3.1 ± 0.07) × 10⁻¹¹
TXS 0506+056,00083368010,58040.95,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.62 ± 0.03,-,-,-,-,-,(2.81 ± 0.08) × 10⁻¹¹,-,-,-,-,-
TXS 0506+056,00083368011,58042.77,77.35819,5.69315,5 09 25.9656,5 41 35.34,-,-,-,-,-,14.76 ± 0.03,-,-,-,-,-,(0.32 ± 0.01) × 10⁻¹⁰
TXS 0506+056,00083368012,58044.13,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.4 ± 0.02,-,-,-,-,-,(0.35 ± 0.01) × 10⁻¹⁰,-,-,-,-,-
TXS 0506+056,00083368013,58047.2,77.35819,5.69315,5 09 25.9656,5 41 35.34,-,-,-,14.86 ± 0.03,-,15.16 ± 0.03,-,-,-,(2.26 ± 0.05) × 10⁻¹¹,-,(2.23 ± 0.07) × 10⁻¹¹
TXS 0506+056,00083368014,58050.73,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.78 ± 0.04,15.55 ± 0.03,15.04 ± 0.04,15.1 ± 0.03,15.37 ± 0.03,15.28 ± 0.03,(2.42 ± 0.08) × 10⁻¹¹,(2.55 ± 0.08) × 10⁻¹¹,(2.66 ± 0.11) × 10⁻¹¹,(1.81 ± 0.06) × 10⁻¹¹,(1.64 ± 0.05) × 10⁻¹¹,(1.99 ± 0.06) × 10⁻¹¹
TXS 0506+056,00083368015,58053.3,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.77 ± 0.05,15.44 ± 0.05,14.9 ± 0.06,14.92 ± 0.04,15.15 ± 0.04,15.05 ± 0.04,(2.45 ± 0.11) × 10⁻¹¹,(2.82 ± 0.12) × 10⁻¹¹,(3.02 ± 0.16) × 10⁻¹¹,(2.13 ± 0.09) × 10⁻¹¹,(2.01 ± 0.08) × 10⁻¹¹,(2.46 ± 0.09) × 10⁻¹¹
TXS 0506+056,00083368017,58059.66,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.53 ± 0.04,15.25 ± 0.04,14.78 ± 0.05,14.74 ± 0.04,14.99 ± 0.04,14.9 ± 0.04,(3.06 ± 0.11) × 10⁻¹¹,(0.34 ± 0.01) × 10⁻¹⁰,(0.34 ± 0.02) × 10⁻¹⁰,(2.51 ± 0.09) × 10⁻¹¹,(2.32 ± 0.08) × 10⁻¹¹,(2.83 ± 0.09) × 10⁻¹¹
TXS 0506+056,00083368018,58065.64,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.54 ± 0.05,15.31 ± 0.05,14.66 ± 0.06,14.79 ± 0.05,15.04 ± 0.04,14.95 ± 0.04,(3.04 ± 0.14) × 10⁻¹¹,(0.32 ± 0.01) × 10⁻¹⁰,(0.38 ± 0.02) × 10⁻¹⁰,(2.41 ± 0.11) × 10⁻¹¹,(2.22 ± 0.09) × 10⁻¹¹,(2.71 ± 0.1) × 10⁻¹¹
TXS 0506+056,00083368019,58068.36,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.99 ± 0.05,15.69 ± 0.05,15.2 ± 0.07,15.12 ± 0.05,15.53 ± 0.05,15.38 ± 0.05,(2.0 ± 0.1) × 10⁻¹¹,(2.24 ± 0.11) × 10⁻¹¹,(2.29 ± 0.15) × 10⁻¹¹,(1.78 ± 0.08) × 10⁻¹¹,(1.42 ± 0.06) × 10⁻¹¹,(1.81 ± 0.08) × 10⁻¹¹
TXS 0506+056,00083368022,58069.53,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.93 ± 0.05,15.69 ± 0.05,15.09 ± 0.06,15.15 ± 0.04,15.42 ± 0.04,15.29 ± 0.04,(2.11 ± 0.09) × 10⁻¹¹,(2.24 ± 0.1) × 10⁻¹¹,(2.53 ± 0.14) × 10⁻¹¹,(1.73 ± 0.07) × 10⁻¹¹,(1.57 ± 0.06) × 10⁻¹¹,(1.97 ± 0.07) × 10⁻¹¹
TXS 0506+056,00083368024,58071.15,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.78 ± 0.04,15.52 ± 0.04,15.02 ± 0.06,14.98 ± 0.04,15.3 ± 0.04,15.13 ± 0.04,(2.43 ± 0.1) × 10⁻¹¹,(2.62 ± 0.1) × 10⁻¹¹,(2.69 ± 0.14) × 10⁻¹¹,(2.03 ± 0.08) × 10⁻¹¹,(1.74 ± 0.06) × 10⁻¹¹,(2.3 ± 0.08) × 10⁻¹¹
TXS 0506+056,00083368025,58072.09,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.74 ± 0.05,15.42 ± 0.05,15.12 ± 0.07,14.92 ± 0.05,15.17 ± 0.04,15.14 ± 0.04,(2.53 ± 0.11) × 10⁻¹¹,(2.87 ± 0.12) × 10⁻¹¹,(2.47 ± 0.15) × 10⁻¹¹,(2.14 ± 0.09) × 10⁻¹¹,(1.97 ± 0.08) × 10⁻¹¹,(2.27 ± 0.08) × 10⁻¹¹
TXS 0506+056,00083368026,58073.09,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.72 ± 0.05,15.44 ± 0.05,14.98 ± 0.06,14.99 ± 0.04,15.27 ± 0.04,15.08 ± 0.04,(2.57 ± 0.11) × 10⁻¹¹,(2.83 ± 0.12) × 10⁻¹¹,(2.82 ± 0.16) × 10⁻¹¹,(2.0 ± 0.08) × 10⁻¹¹,(1.81 ± 0.07) × 10⁻¹¹,(2.4 ± 0.08) × 10⁻¹¹
TXS 0506+056,00083368027,58074.25,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.61 ± 0.05,15.34 ± 0.05,15.03 ± 0.07,14.76 ± 0.05,15.11 ± 0.05,14.98 ± 0.04,(2.84 ± 0.14) × 10⁻¹¹,(3.1 ± 0.15) × 10⁻¹¹,(2.68 ± 0.19) × 10⁻¹¹,(2.48 ± 0.11) × 10⁻¹¹,(2.08 ± 0.09) × 10⁻¹¹,(2.63 ± 0.1) × 10⁻¹¹
TXS 0506+056,00083368028,58075.08,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.6 ± 0.04,15.35 ± 0.04,14.84 ± 0.06,14.78 ± 0.04,15.09 ± 0.04,14.94 ± 0.04,(2.86 ± 0.11) × 10⁻¹¹,(3.07 ± 0.12) × 10⁻¹¹,(0.32 ± 0.02) × 10⁻¹⁰,(2.43 ± 0.09) × 10⁻¹¹,(2.12 ± 0.08) × 10⁻¹¹,(2.73 ± 0.09) × 10⁻¹¹
TXS 0506+056,00083368029,58075.66,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.67 ± 0.04,15.42 ± 0.04,14.93 ± 0.05,14.91 ± 0.04,15.19 ± 0.04,15.04 ± 0.04,(2.69 ± 0.1) × 10⁻¹¹,(2.86 ± 0.1) × 10⁻¹¹,(2.93 ± 0.14) × 10⁻¹¹,(2.16 ± 0.08) × 10⁻¹¹,(1.93 ± 0.07) × 10⁻¹¹,(2.48 ± 0.08) × 10⁻¹¹
TXS 0506+056,00083368030,58076.08,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.74 ± 0.04,15.47 ± 0.04,15.06 ± 0.06,14.87 ± 0.04,15.13 ± 0.04,15.0 ± 0.04,(2.53 ± 0.1) × 10⁻¹¹,(2.73 ± 0.11) × 10⁻¹¹,(2.61 ± 0.14) × 10⁻¹¹,(2.24 ± 0.08) × 10⁻¹¹,(2.04 ± 0.07) × 10⁻¹¹,(2.59 ± 0.09) × 10⁻¹¹
TXS 0506+056,00083368031,58077.07,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.69 ± 0.04,15.38 ± 0.04,14.82 ± 0.05,14.87 ± 0.04,15.18 ± 0.04,15.08 ± 0.04,(2.65 ± 0.1) × 10⁻¹¹,(2.97 ± 0.11) × 10⁻¹¹,(0.33 ± 0.02) × 10⁻¹⁰,(2.23 ± 0.08) × 10⁻¹¹,(1.96 ± 0.07) × 10⁻¹¹,(2.39 ± 0.08) × 10⁻¹¹
TXS 0506+056,00083368033,58078.07,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.59 ± 0.04,15.37 ± 0.04,14.81 ± 0.05,14.76 ± 0.04,15.03 ± 0.04,14.9 ± 0.03,(2.9 ± 0.11) × 10⁻¹¹,(3.02 ± 0.11) × 10⁻¹¹,(0.33 ± 0.02) × 10⁻¹⁰,(2.48 ± 0.08) × 10⁻¹¹,(2.24 ± 0.07) × 10⁻¹¹,(2.84 ± 0.09) × 10⁻¹¹
TXS 0506+056,00083368034,58079.07,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.63 ± 0.04,15.38 ± 0.04,14.85 ± 0.05,14.84 ± 0.04,15.1 ± 0.04,15.01 ± 0.03,(2.8 ± 0.11) × 10⁻¹¹,(2.99 ± 0.11) × 10⁻¹¹,(3.15 ± 0.15) × 10⁻¹¹,(2.3 ± 0.08) × 10⁻¹¹,(2.1 ± 0.07) × 10⁻¹¹,(2.56 ± 0.08) × 10⁻¹¹
TXS 0506+056,00083368035,58080.13,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.61 ± 0.04,15.36 ± 0.04,14.8 ± 0.05,14.8 ± 0.04,15.11 ± 0.04,14.98 ± 0.03,(2.84 ± 0.11) × 10⁻¹¹,(3.04 ± 0.11) × 10⁻¹¹,(0.33 ± 0.02) × 10⁻¹⁰,(2.39 ± 0.08) × 10⁻¹¹,(2.09 ± 0.07) × 10⁻¹¹,(2.64 ± 0.08) × 10⁻¹¹
TXS 0506+056,00083368036,58081.13,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.65 ± 0.04,15.39 ± 0.04,14.83 ± 0.05,14.85 ± 0.04,15.12 ± 0.04,15.08 ± 0.04,(2.74 ± 0.1) × 10⁻¹¹,(2.96 ± 0.11) × 10⁻¹¹,(0.32 ± 0.02) × 10⁻¹⁰,(2.27 ± 0.08) × 10⁻¹¹,(2.06 ± 0.07) × 10⁻¹¹,(2.4 ± 0.08) × 10⁻¹¹
TXS 0506+056,00083368037,58082.05,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.64 ± 0.04,15.41 ± 0.04,14.91 ± 0.05,14.9 ± 0.04,15.08 ± 0.04,15.02 ± 0.03,(2.78 ± 0.1) × 10⁻¹¹,(2.91 ± 0.11) × 10⁻¹¹,(3.0 ± 0.15) × 10⁻¹¹,(2.18 ± 0.08) × 10⁻¹¹,(2.14 ± 0.07) × 10⁻¹¹,(2.55 ± 0.08) × 10⁻¹¹
TXS 0506+056,00083368038,58083.12,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.78 ± 0.04,15.56 ± 0.04,14.97 ± 0.05,15.03 ± 0.04,15.58 ± 0.04,15.38 ± 0.04,(2.44 ± 0.1) × 10⁻¹¹,(2.52 ± 0.1) × 10⁻¹¹,(2.84 ± 0.14) × 10⁻¹¹,(1.94 ± 0.07) × 10⁻¹¹,(1.35 ± 0.05) × 10⁻¹¹,(1.82 ± 0.06) × 10⁻¹¹
TXS 0506+056,00083368039,58084.05,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.79 ± 0.04,15.52 ± 0.04,15.11 ± 0.06,14.96 ± 0.04,15.26 ± 0.04,15.1 ± 0.04,(2.41 ± 0.09) × 10⁻¹¹,(2.61 ± 0.1) × 10⁻¹¹,(2.48 ± 0.13) × 10⁻¹¹,(2.07 ± 0.07) × 10⁻¹¹,(1.82 ± 0.06) × 10⁻¹¹,(2.35 ± 0.08) × 10⁻¹¹
TXS 0506+056,00083368040,58086.11,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.58 ± 0.04,15.35 ± 0.04,14.86 ± 0.05,14.68 ± 0.04,14.91 ± 0.03,14.84 ± 0.03,(2.92 ± 0.11) × 10⁻¹¹,(3.08 ± 0.11) × 10⁻¹¹,(3.12 ± 0.15) × 10⁻¹¹,(2.66 ± 0.09) × 10⁻¹¹,(2.5 ± 0.08) × 10⁻¹¹,(2.99 ± 0.09) × 10⁻¹¹
TXS 0506+056,00083368041,58087.15,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.44 ± 0.04,15.3 ± 0.04,14.81 ± 0.05,14.57 ± 0.04,14.82 ± 0.03,14.7 ± 0.03,(0.33 ± 0.01) × 10⁻¹⁰,(0.32 ± 0.01) × 10⁻¹⁰,(0.33 ± 0.02) × 10⁻¹⁰,(2.95 ± 0.1) × 10⁻¹¹,(2.71 ± 0.08) × 10⁻¹¹,(0.34 ± 0.01) × 10⁻¹⁰
TXS 0506+056,00083368043,58116.21,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.58 ± 0.03,-,-,14.83 ± 0.03,-,-,(2.93 ± 0.07) × 10⁻¹¹,-,-,(2.31 ± 0.06) × 10⁻¹¹,-,-
TXS 0506+056,00083368045,58127.14,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.63 ± 0.04,15.39 ± 0.04,14.94 ± 0.05,14.8 ± 0.04,15.11 ± 0.04,14.95 ± 0.04,(2.78 ± 0.1) × 10⁻¹¹,(2.97 ± 0.1) × 10⁻¹¹,(2.92 ± 0.13) × 10⁻¹¹,(2.39 ± 0.09) × 10⁻¹¹,(2.08 ± 0.07) × 10⁻¹¹,(2.7 ± 0.11) × 10⁻¹¹
TXS 0506+056,00083368046,58129.21,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.62 ± 0.03,15.43 ± 0.03,14.89 ± 0.04,14.83 ± 0.04,15.13 ± 0.03,15.04 ± 0.04,(2.83 ± 0.09) × 10⁻¹¹,(2.86 ± 0.09) × 10⁻¹¹,(3.05 ± 0.12) × 10⁻¹¹,(2.33 ± 0.08) × 10⁻¹¹,(2.04 ± 0.06) × 10⁻¹¹,(2.5 ± 0.09) × 10⁻¹¹
TXS 0506+056,00083368049,58130.07,77.35819,5.69315,5 09 25.9656,5 41 35.34,14.73 ± 0.04,15.45 ± 0.04,15.07 ± 0.05,14.98 ± 0.04,15.26 ± 0.04,15.2 ± 0.05,(2.54 ± 0.09) × 10⁻¹¹,(2.79 ± 0.1) × 10⁻¹¹,(2.58 ± 0.12) × 10⁻¹¹,(2.03 ± 0.08) × 10⁻¹¹,(1.81 ± 0.06) × 10⁻¹¹,(2.14 ± 0.09) × 10⁻¹¹
